row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,,,
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Năm 2020 > Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,13.432.451.972.020,122.054.760.041,354.475.329.186,-,13.908.982.061.247,13432451972020.0,122054760041.0,354475329186.0,,13908982061247.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Năm 2020 > Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,1.562.937.120.759,25.418.104.143,29.418.892.503,(1.617.774.117.405),-,1562937120759.0,25418104143.0,29418892503.0,-1617774117405.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Năm 2020 > Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,14.995.389.092.779,147.472.864.184,383.894.221.689,(1.617.774.117.405),13.908.982.061.247,14995389092779.0,147472864184.0,383894221689.0,-1617774117405.0,13908982061247.0
Phần lãi hoặc lỗ trong công ty liên kết,Năm 2020 > Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,577.807.184.906,(21.763.039.830),23.175.835.868,-,579.219.980.944,577807184906.0,-21763039830.0,23175835868.0,,579219980944.0
Kết quả kinh doanh của bộ phận,Năm 2020 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,466.823.427.661,2.991.490.449,40.064.129.877,74.736.137.612,584.615.185.599,466823427661.0,2991490449.0,40064129877.0,74736137612.0,584615185599.0
Thu nhập khác,Năm 2020 > Thu nhập khác,Thu nhập khác,98.055.878.301,1.215.491.913,1.144.319.588,-,100.415.689.802,98055878301.0,1215491913.0,1144319588.0,,100415689802.0
Chi phí khác,Năm 2020 > Chi phí khác,Chi phí khác,(88.308.546.612),(27.185.464),(515.684.101),(2.784.416.111),(91.635.832.288),-88308546612.0,-27185464.0,-515684101.0,-2784416111.0,-91635832288.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Năm 2020 > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(23.075.298.596),(779.504.220),(6.204.422.892),-,(30.059.225.708),-23075298596.0,-779504220.0,-6204422892.0,,-30059225708.0
Lợi ích/(chi phí) thuế thu nhập hoãn lại,Năm 2020 > Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,3.797.081.042,-,-,(6.591.707.719),(2.794.626.677),3797081042.0,,,-6591707719.0,-2794626677.0
Lợi nhuận thuần sau thuế TNDN,Năm 2020 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,457.292.541.796,3.400.292.678,34.488.342.472,65.360.013.782,560.541.190.728,457292541796.0,3400292678.0,34488342472.0,65360013782.0,560541190728.0
