row_label_raw,row_label_full,col_0,2020(đã điều chỉnh lại)VND/cổ phiếu,2020(theo báo cáotrước đây)VND/cổ phiếu,numeric__2020(đã điều chỉnh lại)VND/cổ phiếu,numeric__2020(theo báo cáotrước đây)VND/cổ phiếu
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,618,570,618.0,570.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,557,514,557.0,514.0
