row_label_raw,row_label_full,18. Chi phí trả trước,18. Chi phí trả trước_1,18. Chi phí trả trước_2,18. Chi phí trả trước_3,18. Chi phí trả trước_4,18. Chi phí trả trước_5,18. Chi phí trả trước_6,18. Chi phí trả trước_7,18. Chi phí trả trước_8,numeric__18. Chi phí trả trước_1,numeric__18. Chi phí trả trước_2,numeric__18. Chi phí trả trước_3,numeric__18. Chi phí trả trước_4,numeric__18. Chi phí trả trước_5,numeric__18. Chi phí trả trước_6,numeric__18. Chi phí trả trước_7,numeric__18. Chi phí trả trước_8
(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,,,,,,,,
,,,,31/12/2021VND,1/1/2021VND,,,,,,,,,,,,,
Trả trước phí bảo hiểm,(a) Chi phí trả trước ngắn hạn > Trả trước phí bảo hiểm,Trả trước phí bảo hiểm,,4.658.728.201,4.698.710.194,,,,,,,4658728201.0,4698710194.0,,,,,
Chi phí trả trước về thuê hoạt động,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước về thuê hoạt động,Chi phí trả trước về thuê hoạt động,,1.217.219.685,2.633.334.156,,,,,,,1217219685.0,2633334156.0,,,,,
Công cụ dụng cụ,(a) Chi phí trả trước ngắn hạn > Công cụ dụng cụ,Công cụ dụng cụ,,12.699.394.153,9.834.638.054,,,,,,,12699394153.0,9834638054.0,,,,,
Chi phí trả trước ngắn hạn khác,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,,9.010.797.151,8.399.438.356,,,,,,,9010797151.0,8399438356.0,,,,,
,,,,27.586.139.190,25.566.120.760,,,,,,,27586139190.0,25566120760.0,,,,,
(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,,,,,,,,
,,,Chi phí đấttrả trướcVND,"Chi phí thuếvăn phòng,nhà xưởngtrả trướcVND",Công cụ vàdụng cụVND,Phụ tùngthay thếVND,Chi phísửa chữa lớntài sản cố địnhVND,Chênh lệchtỷ giá (*)VND,Chi phí trả trướcđài hạn khácVND,Tổng cộngVND,,,,,,,,
Số dư đầu năm,(b) Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,203.066.548.504,24.780.524.495,79.942.514.719,1.713.146,33.640.119.745,3.029.212.876,44.108.900.419,388.569.533.904,203066548504.0,24780524495.0,79942514719.0,1713146.0,33640119745.0,3029212876.0,44108900419.0,388569533904.0
Tăng trong năm,(b) Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,4.392.081.801,3.575.464.374,16.162.401.962,930.069.143,6.068.475.637,-,22.688.040.819,53.816.533.736,4392081801.0,3575464374.0,16162401962.0,930069143.0,6068475637.0,,22688040819.0,53816533736.0
Chuyển từ xây dựng cơ bản dở dang,(b) Chi phí trả trước dài hạn > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,19.548.488.013,-,-,-,-,19.548.488.013,,,19548488013.0,,,,,19548488013.0
Chuyển từ tài sản cố định vô hình,(b) Chi phí trả trước dài hạn > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,6.560.631.417,-,-,-,-,-,-,6.560.631.417,6560631417.0,,,,,,,6560631417.0
Giảm do thanh lý,(b) Chi phí trả trước dài hạn > Giảm do thanh lý,Giảm do thanh lý,-,-,(50.497.692),-,-,-,-,(50.497.692),,,-50497692.0,,,,,-50497692.0
Phân bổ trong năm,(b) Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(15.313.235.053),(6.388.488.869),(65.388.216.239),(361.718.744),(17.372.045.917),(3.029.212.876),(36.892.720.786),(144.745.638.484),-15313235053.0,-6388488869.0,-65388216239.0,-361718744.0,-17372045917.0,-3029212876.0,-36892720786.0,-144745638484.0
Số dư cuối năm,(b) Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,198.706.026.669,21.967.500.000,50.214.690.763,570.063.545,22.336.549.465,-,29.904.220.452,323.699.050.894,198706026669.0,21967500000.0,50214690763.0,570063545.0,22336549465.0,,29904220452.0,323699050894.0
