row_label_raw,row_label_full,col_0,1/1/2021VND,Số đã nộp trong năm VND,Số đã được hoàn/ bù trừ trong năm VND,31/12/2021VND,col_5,numeric__1/1/2021VND,numeric__Số đã nộp trong năm VND,numeric__Số đã được hoàn/ bù trừ trong năm VND,numeric__31/12/2021VND,numeric__col_5
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.019.833.158,9.273.330.725,(9.034.335.334),2.258.828.549,,2019833158.0,9273330725.0,-9034335334.0,2258828549.0,
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,414.815.587,379.465.720,(360.881.972),433.399.335,,414815587.0,379465720.0,-360881972.0,433399335.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,1.267.766.204,21.715.855.769,(20.063.382.477),2.920.239.496,,1267766204.0,21715855769.0,-20063382477.0,2920239496.0,
Các khoản khác,Các khoản khác,Các khoản khác,164.059.360,1.063.623.880,(1.140.949.021),86.734.219,,164059360.0,1063623880.0,-1140949021.0,86734219.0,
,,,3.866.474.309,32.432.276.094,(30.599.548.804),5.699.201.599,,3866474309.0,32432276094.0,-30599548804.0,5699201599.0,
(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,,,,,
,,,1/1/2021VND,Thuế GTGT đầu ra VND,Số phải nộp trong năm VND,Số đã nộp/ bù trừ trong năm VND,Bù trừ với thuế GTGT đầu vào VND,,,,,
Thuế giá trị gia tăng,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,22.799.430.630,609.646.133.431,-,(220.985.484.648),(386.424.190.016),22799430630.0,609646133431.0,,-220985484648.0,-386424190016.0
Thuế xuất nhập khẩu,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,153.955.742,-,9.656.574.646,(9.613.092.864),-,153955742.0,,9656574646.0,-9613092864.0,
Thuế thu nhập doanh nghiệp,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.529.054.169,-,130.309.858.778,(86.103.902.651),-,2529054169.0,,130309858778.0,-86103902651.0,
Thuế thu nhập cá nhân,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.045.991.866,-,22.661.531.328,(22.678.005.983),-,5045991866.0,,22661531328.0,-22678005983.0,
Thuế tài nguyên,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế tài nguyên,Thuế tài nguyên,217.210.575,-,3.190.854.548,(3.169.171.821),-,217210575.0,,3190854548.0,-3169171821.0,
"Tiền thuê, thuế đất","(b) Thuế và các khoản khác phải nộp Nhà nước > Tiền thuê, thuế đất","Tiền thuê, thuế đất",28.354.950.282,-,38.960.198.058,(53.338.204.831),-,28354950282.0,,38960198058.0,-53338204831.0,
Các loại thuế khác,(b) Thuế và các khoản khác phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,209.419.018,-,4.018.421.234,(4.223.526.995),-,209419018.0,,4018421234.0,-4223526995.0,
,,,59.310.012.282,609.646.133.431,208.797.438.592,(400.111.389.793),(386.424.190.016),59310012282.0,609646133431.0,208797438592.0,-400111389793.0,-386424190016.0
