row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,77.558.007.653,64.524.416.090,77558007653.0,64524416090.0
Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,106.060.336.229,54.531.890.534,106060336229.0,54531890534.0
Công ty Cổ phần Dệt may Nha Trang,Công ty Cổ phần Dệt may Nha Trang,Công ty Cổ phần Dệt may Nha Trang,58.598.399.622,52.087.087.704,58598399622.0,52087087704.0
Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,8.334.074.082,12.453.389.509,8334074082.0,12453389509.0
Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,14.614.637.312,16.273.412.441,14614637312.0,16273412441.0
Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,4.149.923.627,391.697.226,4149923627.0,391697226.0
Công ty Cổ phần Xúc tiến Thương mại và Đầu tư Phong Phú,Công ty Cổ phần Xúc tiến Thương mại và Đầu tư Phong Phú,Công ty Cổ phần Xúc tiến Thương mại và Đầu tư Phong Phú,-,281.354.761,,281354761.0
Tổng Công Ty May Nhà Bè – CTCP,Tổng Công Ty May Nhà Bè – CTCP,Tổng Công Ty May Nhà Bè – CTCP,24.978.520.064,-,24978520064.0,
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,2.010.573.482,1.456.024.385,2010573482.0,1456024385.0
,,,296.304.472.071,201.999.272.650,296304472071.0,201999272650.0
