row_label_raw,row_label_full,col_0,31/12/2021 > Tỷ lệ % sở hữu,31/12/2021 > Tỷ lệ % quyền biểu quyết,31/12/2021 > Giá trị ghi sổ theo phương pháp vốn chủ VND,31/12/2021 > Giá trị hợp lý VND,31/12/2021 > Tỷ lệ % sở hữu_1,1/1/2021 > Tỷ lệ % quyền biểu quyết,1/1/2021 > Giá trị ghi sổ theo phương pháp vốn chủ VND,1/1/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Tỷ lệ % sở hữu,numeric__31/12/2021 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2021 > Giá trị ghi sổ theo phương pháp vốn chủ VND,numeric__31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Tỷ lệ % sở hữu_1,numeric__1/1/2021 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2021 > Giá trị ghi sổ theo phương pháp vốn chủ VND,numeric__1/1/2021 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,
▪ Tổng Công ty May 10 - CTCP,Công ty liên kết > ▪ Tổng Công ty May 10 - CTCP,▪ Tổng Công ty May 10 - CTCP,"33,82%","33,82%",86.302.489.246,(*),"33,82%","33,82%",77.036.979.785,(*),0.3382,0.3382,86302489246.0,,0.3382,0.3382,77036979785.0,
▪ Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > ▪ Tổng Công ty Cổ phần May Việt Tiến,▪ Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",429.570.784.493,(*),"30,40%","30,40%",419.067.927.642,(*),0.304,0.304,429570784493.0,,0.304,0.304,419067927642.0,
▪ Tổng Công ty Việt Thắng - CTCP,Công ty liên kết > ▪ Tổng Công ty Việt Thắng - CTCP,▪ Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",95.142.315.083,(*),"46,93%","46,93%",79.953.935.662,(*),0.4693,0.4693,95142315083.0,,0.4693,0.4693,79953935662.0,
▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),-,-,-,,"21,21%","21,21%",30.719.345.637,(*),,,,,0.2121,0.2121,30719345637.0,
▪ Tổng Công ty May Nhà Bè - CTCP,Công ty liên kết > ▪ Tổng Công ty May Nhà Bè - CTCP,▪ Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",97.334.764.993,(*),"27,69%","27,69%",96.697.395.450,(*),0.27690000000000003,0.27690000000000003,97334764993.0,,0.27690000000000003,0.27690000000000003,96697395450.0,
▪ Tổng Công ty May Đức Giang - CTCP,Công ty liên kết > ▪ Tổng Công ty May Đức Giang - CTCP,▪ Tổng Công ty May Đức Giang - CTCP,"35,21%","35,21%",48.575.508.708,(*),"35,21%","35,21%",48.217.029.710,(*),0.3521,0.3521,48575508708.0,,0.3521,0.3521,48217029710.0,
▪ Tổng Công ty May Hưng Yên - CTCP,Công ty liên kết > ▪ Tổng Công ty May Hưng Yên - CTCP,▪ Tổng Công ty May Hưng Yên - CTCP,"35,01%","35,01%",125.875.386.189,(*),"35,01%","35,01%",123.334.289.546,(*),0.35009999999999997,0.35009999999999997,125875386189.0,,0.35009999999999997,0.35009999999999997,123334289546.0,
▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty liên kết > ▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,"40,33%","40,33%",85.331.533.605,(*),"40,33%","40,33%",85.477.078.065,(*),0.4033,0.4033,85331533605.0,,0.4033,0.4033,85477078065.0,
▪ Công ty TNHH Coats Phong Phú,Công ty liên kết > ▪ Công ty TNHH Coats Phong Phú,▪ Công ty TNHH Coats Phong Phú,"17,86%","17,86%",800.240.738.987,(*),"17,86%","17,86%",590.702.530.006,(*),0.17859999999999998,0.17859999999999998,800240738987.0,,0.17859999999999998,0.17859999999999998,590702530006.0,
▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,Công ty liên kết > ▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"22,05%","22,05%",142.149.479.654,(*),"22,05%","22,05%",138.959.835.083,(*),0.2205,0.2205,142149479654.0,,0.2205,0.2205,138959835083.0,
▪ Các khoản đầu tư tại công ty liên kết khác,Công ty liên kết > ▪ Các khoản đầu tư tại công ty liên kết khác,▪ Các khoản đầu tư tại công ty liên kết khác,,,619.459.279.345,(*),,,637.652.210.142,(*),,,619459279345.0,,,,637652210142.0,
,,,,,2.529.982.280.303,,,,2.327.818.556.728,,,,2529982280303.0,,,,2327818556728.0,
