row_label_raw,row_label_full,col_0,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,,,,,
Tài sản của bộ phận,Ngày 1 tháng 1 năm 2021 > Tài sản của bộ phận,Tài sản của bộ phận,19.694.330.249.390,125.326.059.004,1.442.645.948.579,(5.570.444.371.959),15.691.857.885.014,19694330249390.0,125326059004.0,1442645948579.0,-5570444371959.0,15691857885014.0
Khoản đầu tư vào công ty liên kết,Ngày 1 tháng 1 năm 2021 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.498.830.071.718,912.560.000,307.875.000,827.768.050.010,2.327.818.556.728,1498830071718.0,912560000.0,307875000.0,827768050010.0,2327818556728.0
Tổng tài sản,Ngày 1 tháng 1 năm 2021 > Tổng tài sản,Tổng tài sản,21.193.160.321.108,126.238.619.004,1.442.953.823.579,(4.742.676.321.949),18.019.676.441.742,21193160321108.0,126238619004.0,1442953823579.0,-4742676321949.0,18019676441742.0
Tổng nợ phải trả của bộ phận,Ngày 1 tháng 1 năm 2021 > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,11.268.063.658.700,348.086.924.139,602.159.082.236,(2.267.250.120.945),9.951.059.544.130,11268063658700.0,348086924139.0,602159082236.0,-2267250120945.0,9951059544130.0
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,,,
Chỉ tiêu vốn,Năm 2020 > Chỉ tiêu vốn,Chỉ tiêu vốn,857.680.427.739,160.227.273,31.339.454.051,(60.953.759.154),828.226.349.909,857680427739.0,160227273.0,31339454051.0,-60953759154.0,828226349909.0
Khấu hao tài sản cố định hữu hình,Năm 2020 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,716.699.522.513,1.762.166.553,44.044.789.191,6.038.241.868,768.544.720.125,716699522513.0,1762166553.0,44044789191.0,6038241868.0,768544720125.0
Khấu hao tài sản cố định hữu hìnhthuê tài chính,Năm 2020 > Khấu hao tài sản cố định hữu hìnhthuê tài chính,Khấu hao tài sản cố định hữu hìnhthuê tài chính,13.843.992.930,-,-,-,13.843.992.930,13843992930.0,,,,13843992930.0
Khấu hao tài sản cố định vô hình,Năm 2020 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,8.264.362.362,-,87.661.788,-,8.352.024.150,8264362362.0,,87661788.0,,8352024150.0
Khấu hao bắt động sản đầu tư,Năm 2020 > Khấu hao bắt động sản đầu tư,Khấu hao bắt động sản đầu tư,2.589.175.308,207.734.004,11.498.514.610,(242.240.506),14.053.183.416,2589175308.0,207734004.0,11498514610.0,-242240506.0,14053183416.0
