row_label_raw,row_label_full,Tại ngày 31/12/2021,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,1.362.649.568.339,859.016.788.742,2.221.666.357.081,1362649568339.0,859016788742.0,2221666357081.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,18.124.157.101.481,,,18124157101481.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,20.345.823.458.562,,,20345823458562.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,1.042.227.583.982,1.117.037.690.919,2.159.265.274.901,1042227583982.0,1117037690919.0,2159265274901.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,8.953.557.271.253,,,8953557271253.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,11.112.822.546.154,,,11112822546154.0
Tại ngày 1/1/2021,Tại ngày 1/1/2021,Tại ngày 1/1/2021,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tài sản của bộ phận,Tại ngày 1/1/2021 > Tài sản của bộ phận,Tài sản của bộ phận,925.369.635.032,654.284.481.544,1.579.654.116.576,925369635032.0,654284481544.0,1579654116576.0
Tài sản không phân bổ,Tại ngày 1/1/2021 > Tài sản không phân bổ,Tài sản không phân bổ,,,16.440.022.325.166,,,16440022325166.0
Tổng tài sản,Tại ngày 1/1/2021 > Tổng tài sản,Tổng tài sản,,,18.019.676.441.742,,,18019676441742.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2021 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,808.634.359.857,710.807.167.479,1.519.441.527.336,808634359857.0,710807167479.0,1519441527336.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2021 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,8.431.618.016.794,,,8431618016794.0
Tổng nợ phải trả,Tại ngày 1/1/2021 > Tổng nợ phải trả,Tổng nợ phải trả,,,9.951.059.544.130,,,9951059544130.0
