row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,142.755.275.479,28.766.120.540,1.101.661.600,172.623.057.619,142755275479.0,28766120540.0,1101661600.0,172623057619.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.864.863.900,-,1.864.863.900,,1864863900.0,,1864863900.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(5.000.192.174),-,-,(5.000.192.174),-5000192174.0,,,-5000192174.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,377.311.147,-,377.311.147,,377311147.0,,377311147.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(9.807.703.614),-,-,(9.807.703.614),-9807703614.0,,,-9807703614.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.371.700.243),-,(1.371.700.243),,-1371700243.0,,-1371700243.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(7.811.208.727),-,-,(7.811.208.727),-7811208727.0,,,-7811208727.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,120.136.170.964,29.636.595.344,1.101.661.600,150.874.427.908,120136170964.0,29636595344.0,1101661600.0,150874427908.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,32.949.051.144,23.788.731.846,701.408.013,57.439.191.003,32949051144.0,23788731846.0,701408013.0,57439191003.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.380.379.391,1.800.538.145,16.670.833,5.197.588.369,3380379391.0,1800538145.0,16670833.0,5197588369.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(1.668.121.727),-,-,(1.668.121.727),-1668121727.0,,,-1668121727.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(3.247.072.197),-,-,(3.247.072.197),-3247072197.0,,,-3247072197.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(1.371.700.243),-,(1.371.700.243),,-1371700243.0,,-1371700243.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(1.315.717.778),-,-,(1.315.717.778),-1315717778.0,,,-1315717778.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.098.518.833,24.217.569.748,718.078.846,55.034.167.427,30098518833.0,24217569748.0,718078846.0,55034167427.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,109.806.224.335,4.977.388.694,400.253.587,115.183.866.616,109806224335.0,4977388694.0,400253587.0,115183866616.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,90.037.652.131,5.419.025.596,383.582.754,95.840.260.481,90037652131.0,5419025596.0,383582754.0,95840260481.0
