row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.646.747.873.908,8.667.943.680.572,333.731.172.661,98.153.992.981,182.581.245.616,12.929.157.965.738,3646747873908.0,8667943680572.0,333731172661.0,98153992981.0,182581245616.0,12929157965738.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,26.389.732.728,65.769.879.034,12.329.382.527,709.654.813,3.734.485.452,108.933.134.554,26389732728.0,65769879034.0,12329382527.0,709654813.0,3734485452.0,108933134554.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,293.683.357.976,763.209.361.174,15.712.343.849,825.817.975,2.344.846.359,1.075.775.727.333,293683357976.0,763209361174.0,15712343849.0,825817975.0,2344846359.0,1075775727333.0
Chuyển từ tài sản cổ định hữu hìnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cổ định hữu hìnhthuê tài chính,Chuyển từ tài sản cổ định hữu hìnhthuê tài chính,-,10.327.785.769,1.198.728.546,-,-,11.526.514.315,,10327785769.0,1198728546.0,,,11526514315.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,35.232.475.471,-,-,-,-,35.232.475.471,35232475471.0,,,,,35232475471.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(8.079.364.913),-,-,-,-,(8.079.364.913),-8079364913.0,,,,,-8079364913.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.434.515.813),(132.287.845.344),(8.163.851.121),(752.650.066),(324.515.972),(148.963.378.316),-7434515813.0,-132287845344.0,-8163851121.0,-752650066.0,-324515972.0,-148963378316.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(439.042.727),-,439.042.727,-,-,,-439042727.0,,439042727.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.986.539.559.357,9.374.523.818.478,354.807.776.462,99.375.858.430,188.336.061.455,14.003.583.074.182,3986539559357.0,9374523818478.0,354807776462.0,99375858430.0,188336061455.0,14003583074182.0
