row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.308.119.688.910,5.114.856.535.336,193.959.883.461,58.642.402.295,136.974.131.814,6.812.552.641.816,1308119688910.0,5114856535336.0,193959883461.0,58642402295.0,136974131814.0,6812552641816.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,181.505.010.849,554.138.275.548,39.234.400.596,8.679.945.037,15.404.116.485,798.961.748.515,181505010849.0,554138275548.0,39234400596.0,8679945037.0,15404116485.0,798961748515.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,4.771.840.410,489.480.845,-,-,5.261.321.255,,4771840410.0,489480845.0,,,5261321255.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,15.153.586.191,-,-,-,-,15.153.586.191,15153586191.0,,,,,15153586191.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(157.915.573),-,-,-,-,(157.915.573),-157915573.0,,,,,-157915573.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.819.240.305),(122.207.546.290),(7.839.359.091),(752.650.066),(324.515.972),(135.943.311.724),-4819240305.0,-122207546290.0,-7839359091.0,-752650066.0,-324515972.0,-135943311724.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(439.042.727),-,439.042.727,-,-,,-439042727.0,,439042727.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.499.801.130.072,5.551.120.062.277,225.844.405.811,67.008.739.993,152.053.732.327,7.495.828.070.480,1499801130072.0,5551120062277.0,225844405811.0,67008739993.0,152053732327.0,7495828070480.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.338.628.184.998,3.553.087.145.236,139.771.289.200,39.511.590.686,45.607.113.802,6.116.605.323.922,2338628184998.0,3553087145236.0,139771289200.0,39511590686.0,45607113802.0,6116605323922.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.486.738.429.285,3.823.403.756.201,128.963.370.651,32.367.118.437,36.282.329.128,6.507.755.003.702,2486738429285.0,3823403756201.0,128963370651.0,32367118437.0,36282329128.0,6507755003702.0
