row_label_raw,row_label_full,col_0,Dự phòng chi phí di đời (*) VND,Dự phòng bồi thường tổn thất (**) VND,Khác VND,Tổng cộng VND,numeric__Dự phòng chi phí di đời (*) VND,numeric__Dự phòng bồi thường tổn thất (**) VND,numeric__Khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,24.665.668.570,-,7.921.855.086,32.587.523.656,24665668570.0,,7921855086.0,32587523656.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,-,62.473.188.366,4.635.740.930,67.108.929.296,,62473188366.0,4635740930.0,67108929296.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,,(1.256.364.600),(1.256.364.600),,,-1256364600.0,-1256364600.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,-,,(5.022.013.216),(5.022.013.216),,,-5022013216.0,-5022013216.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,24.665.668.570,62.473.188.366,6.279.218.200,93.418.075.136,24665668570.0,62473188366.0,6279218200.0,93418075136.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,-,62.473.188.366,1.390.000.000,63.863.188.366,,62473188366.0,1390000000.0,63863188366.0
Dự phòng phải trả dài hạn,Trong đó: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,24.665.668.570,-,4.889.218.200,29.554.886.770,24665668570.0,,4889218200.0,29554886770.0
