row_label_raw,row_label_full,Năm 2021,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,5.555.033.725.002,10.447.831.334.743,16.002.865.059.745,5555033725002.0,10447831334743.0,16002865059745.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.016.091.245.046,1.131.273.226.912,2.147.364.471.958,1016091245046.0,1131273226912.0,2147364471958.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,897.148.101.108,,,897148101108.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(1.558.237.369.186),,,-1558237369186.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,1.486.275.203.880,,,1486275203880.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,85.339.935.918,,,85339935918.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(115.124.552.557),,,-115124552557.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(132.577.285.746),,,-132577285746.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,1.323.913.301.495,,,1323913301495.0
Năm 2020,Năm 2020,Năm 2020,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tổng doanh thu của bộ phận,Năm 2020 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,4.755.381.973.420,9.153.600.087.827,13.908.982.061.247,4755381973420.0,9153600087827.0,13908982061247.0
Kết quả kinh doanh của bộ phận,Năm 2020 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,557.445.059.544,722.227.756.455,1.279.672.815.999,557445059544.0,722227756455.0,1279672815999.0
Thu nhập không phân bổ,Năm 2020 > Thu nhập không phân bổ,Thu nhập không phân bổ,,,833.216.112.334,,,833216112334.0
Chi phí không phân bổ,Năm 2020 > Chi phí không phân bổ,Chi phí không phân bổ,,,(1.528.273.742.734),,,-1528273742734.0
Kết quả từ hoạt động kinh doanh,Năm 2020 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,584.615.185.599,,,584615185599.0
Thu nhập khác,Năm 2020 > Thu nhập khác,Thu nhập khác,,,100.415.689.802,,,100415689802.0
Chi phí khác,Năm 2020 > Chi phí khác,Chi phí khác,,,(91.635.832.288),,,-91635832288.0
Thuế thu nhập doanh nghiệp,Năm 2020 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(32.853.852.385),,,-32853852385.0
Lợi nhuận thuần sau thuế TNDN,Năm 2020 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,560.541.190.728,,,560541190728.0
