row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
Tại ngày 01/01/2024,Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.765.000.000.000,(90.100.000),117.972.591.153,519.381.220.261,4.402.263.711.414,3765000000000.0,-90100000.0,117972591153.0,519381220261.0,4402263711414.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,515.323.295.337,515.323.295.337,,,,515323295337.0,515323295337.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(451.790.160.000),(451.790.160.000),,,,-451790160000.0,-451790160000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,22.540.120.000,(22.540.120.000),-,,,22540120000.0,-22540120000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(4.505.743.000),(4.505.743.000),,,,-4505743000.0,-4505743000.0
"Tạm trích quỹ khen thưởng, phúc lợi","Tạm trích quỹ khen thưởng, phúc lợi","Tạm trích quỹ khen thưởng, phúc lợi",-,-,-,(3.550.410.000),(3.550.410.000),,,,-3550410000.0,-3550410000.0
Hoàn nhập quỹ công tác xã hội cộng đồng,Hoàn nhập quỹ công tác xã hội cộng đồng,Hoàn nhập quỹ công tác xã hội cộng đồng,-,-,-,8.381.355.750,8.381.355.750,,,,8381355750.0,8381355750.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,3.765.000.000.000,(90.100.000),140.512.711.153,560.699.438.348,4.466.122.049.501,3765000000000.0,-90100000.0,140512711153.0,560699438348.0,4466122049501.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,576.303.792.197,576.303.792.197,,,,576303792197.0,576303792197.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(489.439.340.000),(489.439.340.000),,,,-489439340000.0,-489439340000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,25.759.742.000,(25.759.742.000),-,,,25759742000.0,-25759742000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(6.360.522.000),(6.360.522.000),,,,-6360522000.0,-6360522000.0
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,3.765.000.000.000,(90.100.000),166.272.453.153,615.443.626.545,4.546.625.979.698,3765000000000.0,-90100000.0,166272453153.0,615443626545.0,4546625979698.0
