row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm vi tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Tại ngày 01/01/2025,Nguyên giá: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,5.677.081.406,2.028.826.364,7.705.907.770,5677081406.0,2028826364.0,7705907770.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,85.000.000,85.000.000,,85000000.0,85000000.0
Tại ngày 31/12/2025,Nguyên giá: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,5.677.081.406,2.113.826.364,7.790.907.770,5677081406.0,2113826364.0,7790907770.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,5.172.451.962,941.636.364,6.114.088.326,5172451962.0,941636364.0,6114088326.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,504.629.444,238.298.000,742.927.444,504629444.0,238298000.0,742927444.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,5.677.081.406,1.179.934.364,6.857.015.770,5677081406.0,1179934364.0,6857015770.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Tại ngày 01/01/2025,Giá trị còn lại: > Tại ngày 01/01/2025,Tại ngày 01/01/2025,504.629.444,1.087.190.000,1.591.819.444,504629444.0,1087190000.0,1591819444.0
Tại ngày 31/12/2025,Giá trị còn lại: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,-,933.892.000,933.892.000,,933892000.0,933892000.0
