row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2025,Năm 2024,numeric__Mã số,numeric__TM,numeric__Năm 2025,numeric__Năm 2024
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1. Tiền thu từ đi vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,,-,548.000.000.000,33.0,,,548000000000.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,,-,(548.000.000.000),34.0,,,-548000000000.0
"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(489.436.610.000),(451.799.840.000),36.0,,-489436610000.0,-451799840000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(489.436.610.000),(451.799.840.000),40.0,,-489436610000.0,-451799840000.0
LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM,,,,
(50 = 20+30+40),LƯU CHUYẾN TIỀN THUẦN TRONG NĂM > (50 = 20+30+40),(50 = 20+30+40),50,,1.359.604.531,(61.385.889.584),50.0,,1359604531.0,-61385889584.0
Tiền và tương đương tiền đầu năm,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,36.640.724.352,97.898.161.728,60.0,,36640724352.0,97898161728.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LƯU CHUYẾN TIỀN THUẦN TRONG NĂM > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,90.139.005,128.452.208,61.0,,90139005.0,128452208.0
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,,,,
(70 = 50+60+61),TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM > (70 = 50+60+61),(70 = 50+60+61),70,4.1,38.090.467.888,36.640.724.352,70.0,41.0,38090467888.0,36640724352.0
