row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2025,Năm 2024,numeric__Mã số,numeric__TM,numeric__Năm 2025,numeric__Năm 2024
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,580.381.731.887,525.360.204.257,1.0,,580381731887.0,525360204257.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
Khâu hao TSCĐ và BĐSĐT,2. Điều chỉnh cho các khoản: > Khâu hao TSCĐ và BĐSĐT,Khâu hao TSCĐ và BĐSĐT,02,5.6,8.398.912.835,11.110.680.883,2.0,56.0,8398912835.0,11110680883.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,44.597.436.421,6.142.497.690,3.0,,44597436421.0,6142497690.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",04,,(90.139.005),(128.452.208),4.0,,-90139005.0,-128452208.0
"Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(616.411.422.151),(506.054.233.468),5.0,,-616411422151.0,-506054233468.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,,-,2.822.772.603,6.0,,,2822772603.0
3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,08,,16.876.519.987,39.253.469.757,8.0,,16876519987.0,39253469757.0
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,(38.849.119.718),24.963.450.991,9.0,,-38849119718.0,24963450991.0
