row_label_raw,row_label_full,col_0,Tại ngày31/12/2025VND,Tại ngày01/01/2025VND,numeric__Tại ngày31/12/2025VND,numeric__Tại ngày01/01/2025VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6","Ngắn hạn: > Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6","Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6",532.728.840,-,532728840.0,
"Nhận ký quỹ, ký cược","Ngắn hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",3.347.676.587,300.000.000,3347676587.0,300000000.0
Thù lao Hội đồng quản trị và Ban kiểm soát,Ngắn hạn: > Thù lao Hội đồng quản trị và Ban kiểm soát,Thù lao Hội đồng quản trị và Ban kiểm soát,-,899.232.000,,899232000.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",180.702.852,152.292.852,180702852.0,152292852.0
Cộng,Ngắn hạn: > Cộng,Cộng,4.061.108.279,1.351.524.852,4061108279.0,1351524852.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải trả cho các bên liên quan - Xem thêm Mục 6 (*),Dài hạn: > Phải trả cho các bên liên quan - Xem thêm Mục 6 (*),Phải trả cho các bên liên quan - Xem thêm Mục 6 (*),33.600.000.000,33.600.000.000,33600000000.0,33600000000.0
"Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6","Dài hạn: > Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6","Nhận ký quỹ, ký cược từ bên liên quan- Xem thêm Mục 6",388.537.317,-,388537317.0,
"Nhận ký quỹ, ký cược","Dài hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",14.103.246.403,4.490.511.232,14103246403.0,4490511232.0
Cộng,Dài hạn: > Cộng,Cộng,48.091.783.720,38.090.511.232,48091783720.0,38090511232.0
