row_label_raw,row_label_full,Bất động sản đầu tư cho thuê,Tại ngày01/01/2025VND,Tăngtrong nămVND,Giảmtrong nămVND,Tại ngày31/12/2025VND,numeric__Tại ngày01/01/2025VND,numeric__Tăngtrong nămVND,numeric__Giảmtrong nămVND,numeric__Tại ngày31/12/2025VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Nguyên giá: > Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,115.772.827.803,198.911.738,-,115.971.739.541,115772827803.0,198911738.0,,115971739541.0
Nhà uưởng khu công nghiệp Châu Đức,Nguyên giá: > Nhà uưởng khu công nghiệp Châu Đức,Nhà uưởng khu công nghiệp Châu Đức,60.540.640.180,30.465.846.542,-,91.006.486.722,60540640180.0,30465846542.0,,91006486722.0
Tòa nhà Sonadezi,Nguyên giá: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,-,165.984.956.317,-,165.984.956.317,,165984956317.0,,165984956317.0
Cộng,Nguyên giá: > Cộng,Cộng,176.313.467.983,196.649.714.597,-,372.963.182.580,176313467983.0,196649714597.0,,372963182580.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Giá trị hao mòn lũy kế: > Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,114.439.200.634,352.429.667,-,114.791.630.301,114439200634.0,352429667.0,,114791630301.0
Nhà uưởng khu công nghiệp Châu Đức,Giá trị hao mòn lũy kế: > Nhà uưởng khu công nghiệp Châu Đức,Nhà uưởng khu công nghiệp Châu Đức,8.628.359.000,4.259.767.000,-,12.888.126.000,8628359000.0,4259767000.0,,12888126000.0
Tòa nhà Sonadezi,Giá trị hao mòn lũy kế: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,-,2.018.172.000,-,2.018.172.000,,2018172000.0,,2018172000.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,123.067.559.634,6.630.368.667,-,129.697.928.301,123067559634.0,6630368667.0,,129697928301.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Giá trị còn lại: > Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,Cơ sở hạ tầng Khu công nghiệp Biên Hòa 1,1.333.627.169,,,1.180.109.240,1333627169.0,,,1180109240.0
Nhà uưởng khu công nghiệp Châu Đức,Giá trị còn lại: > Nhà uưởng khu công nghiệp Châu Đức,Nhà uưởng khu công nghiệp Châu Đức,51.912.281.180,,,78.118.360.722,51912281180.0,,,78118360722.0
Tòa nhà Sonadezi,Giá trị còn lại: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,-,,,163.966.784.317,,,,163966784317.0
Cộng,Giá trị còn lại: > Cộng,Cộng,53.245.908.349,,,243.265.254.279,53245908349.0,,,243265254279.0
