row_label_raw,row_label_full,Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ,Năm 2021 > 4.454.058.422,Năm 2020 > 279.585.495,numeric__Năm 2021 > 4.454.058.422,numeric__Năm 2020 > 279.585.495
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,9.009.105.668,2.280.961.233,9009105668.0,2280961233.0
Các khoản khác,Các khoản khác,Các khoản khác,17.390.215.006,4.070.667.819,17390215006.0,4070667819.0
Cộng,Cộng,Cộng,30.853.379.096,6.631.214.547,30853379096.0,6631214547.0
