row_label_raw,row_label_full,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
963.645.033.225,963.645.033.225,963.645.033.225,963.645.033.225,1.097.766.949.284,1.097.766.949.284,963645033225.0,1097766949284.0,1097766949284.0
52.723.343.000,52.723.343.000,52.723.343.000,52.723.343.000,56.585.124.500,56.585.124.500,52723343000.0,56585124500.0,56585124500.0
20.881.012.696,20.881.012.696,20.881.012.696,20.881.012.696,40.982.962.956,40.982.962.956,20881012696.0,40982962956.0,40982962956.0
,,,,6.966.392.550,6.966.392.550,,6966392550.0,6966392550.0
,,,,17.113.450.445,17.113.450.445,,17113450445.0,17113450445.0
2.363.078.946,2.363.078.946,2.363.078.946,2.363.078.946,2.363.078.946,2.363.078.946,2363078946.0,2363078946.0,2363078946.0
,,,,4.000.000.000,4.000.000.000,,4000000000.0,4000000000.0
24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,27.216.912.299,27.216.912.299,24876982503.0,27216912299.0,27216912299.0
26.335.789.100,26.335.789.100,26.335.789.100,26.335.789.100,53.763.658.720,53.763.658.720,26335789100.0,53763658720.0,53763658720.0
39.723.651.429,39.723.651.429,39.723.651.429,39.723.651.429,131.358.544.288,131.358.544.288,39723651429.0,131358544288.0,131358544288.0
25.452.530.380,25.452.530.380,25.452.530.380,25.452.530.380,42.639.951.150,42.639.951.150,25452530380.0,42639951150.0,42639951150.0
