row_label_raw,row_label_full,a) Ngắn hạn
+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son
+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận
+ Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,+ Công ty Cổ phần Hum
+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu
+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng
+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO
+ Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED
+ Công ty Cổ Phần Nông Sản Tràng An,+ Công ty Cổ Phần Nông Sản Tràng An,+ Công ty Cổ Phần Nông Sản Tràng An
"+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd"
+ Công Ty TNHH CARGILL VIỆT NAM,+ Công Ty TNHH CARGILL VIỆT NAM,+ Công Ty TNHH CARGILL VIỆT NAM
