row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Các quỹ thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn kinh phí và quỹ khác,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Các quỹ thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn kinh phí và quỹ khác,numeric__Cộng
Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020,,,,,,,,
01/01/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > 01/01/2020,01/01/2020,2.588.678.490.000,45.104.200.000,267.073.275.300,100.083.241.646,1.024.776.286.192,2.276.156.920.634,,6.301.872.413.772,2588678490000.0,45104200000.0,267073275300.0,100083241646.0,1024776286192.0,2276156920634.0,,6301872413772.0
Lãi trong kỳ trước,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,475.463.677.442,96.893.590.266,,572.357.267.708,,,,,475463677442.0,96893590266.0,,572357267708.0
Tăng do trích từ lợi nhuận,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,16.110.535.606,,,,16.110.535.606,,,,16110535606.0,,,,16110535606.0
Tăng khác,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Tăng khác,Tăng khác,,,5.916.365.575,,,1.680.804.425,6.735.654.500,14.332.824.500,,,5916365575.0,,,1680804425.0,6735654500.0,14332824500.0
Trích quỹ từ lợi nhuận,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(21.856.144.563),,,(21.856.144.563),,,,,-21856144563.0,,,-21856144563.0
Chia cổ tức,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Chia cổ tức,Chia cổ tức,,,,,(8.105.952.086),,,(8.105.952.086),,,,,-8105952086.0,,,-8105952086.0
Giảm khác,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > Giảm khác,Giảm khác,,,,,(2.602.438.616),,,(2.602.438.616),,,,,-2602438616.0,,,-2602438616.0
31/12/2020,Cho năm tài chính 2020 kết thúc ngày 31/12/2020 > 31/12/2020,31/12/2020,2.588.678.490.000,45.104.200.000,272.989.640.875,116.193.777.252,1.467.675.428.369,2.374.731.315.325,6.735.654.500,6.872.108.506.321,2588678490000.0,45104200000.0,272989640875.0,116193777252.0,1467675428369.0,2374731315325.0,6735654500.0,6872108506321.0
Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,,,,,,,,
01/01/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > 01/01/2021,01/01/2021,2.588.678.490.000,45.104.200.000,272.989.640.875,116.193.777.252,1.467.675.428.369,2.374.731.315.325,6.735.654.500,6.872.108.506.321,2588678490000.0,45104200000.0,272989640875.0,116193777252.0,1467675428369.0,2374731315325.0,6735654500.0,6872108506321.0
Lãi trong kỳ này,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Lãi trong kỳ này,Lãi trong kỳ này,,,,,600.436.710.886,103.450.907.724,,703.887.618.610,,,,,600436710886.0,103450907724.0,,703887618610.0
Tăng do trích từ lợi nhuận,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,15.259.524.036,,,,15.259.524.036,,,,15259524036.0,,,,15259524036.0
Tăng khác,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Tăng khác,Tăng khác,,,,,1.275.370.864,2.173.887.965,894.366.700,4.343.625.529,,,,,1275370864.0,2173887965.0,894366700.0,4343625529.0
Trích quỹ từ lợi nhuận,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(17.439.288.670),(975.495.180),,(18.414.783.850),,,,,-17439288670.0,-975495180.0,,-18414783850.0
Giảm khác,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Giảm khác,Giảm khác,,,,,(844.740.187),,,(844.740.187),,,,,-844740187.0,,,-844740187.0
31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > 31/12/2021,31/12/2021,2.588.678.490.000,45.104.200.000,272.989.640.875,131.453.301.288,2.051.103.481.262,2.479.380.615.834,7.630.021.200,7.576.339.750.459,2588678490000.0,45104200000.0,272989640875.0,131453301288.0,2051103481262.0,2479380615834.0,7630021200.0,7576339750459.0
