row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,1.613.633.436.205,4.360.910.729.171,61.462.548.676,33.993.855.545,60.402.521.769,6.130.403.091.366,1613633436205.0,4360910729171.0,61462548676.0,33993855545.0,60402521769.0,6130403091366.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,36.110.332.175,108.694.415.021,16.098.721.733,221.818.182,47.304.250.014,208.429.537.125,36110332175.0,108694415021.0,16098721733.0,221818182.0,47304250014.0,208429537125.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,1.786.291.164,6.747.701.241,2.860.982.733,221.818.182,,11.616.793.320,1786291164.0,6747701241.0,2860982733.0,221818182.0,,11616793320.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,34.324.041.011,,,,47.304.250.014,81.628.291.025,34324041011.0,,,,47304250014.0,81628291025.0
- Mua lại TSCĐ thuê tài chính,I. Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,101.946.713.780,13.237.739.000,,,115.184.452.780,,101946713780.0,13237739000.0,,,115184452780.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,1.585.648.884,75.435.990.000,738.726.545,,,77.760.365.429,1585648884.0,75435990000.0,738726545.0,,,77760365429.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",1.585.648.884,75.435.990.000,738.726.545,,,77.760.365.429,1585648884.0,75435990000.0,738726545.0,,,77760365429.0
4. Số dư cuối năm,I. Nguyên giá > 4. Số dư cuối năm,4. Số dư cuối năm,1.648.158.119.496,4.394.169.154.192,76.822.543.864,34.215.673.727,107.706.771.783,6.261.072.263.062,1648158119496.0,4394169154192.0,76822543864.0,34215673727.0,107706771783.0,6261072263062.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,178.872.921.820,503.955.447.091,41.775.761.632,9.298.757.636,13.088.579.374,746.991.467.553,178872921820.0,503955447091.0,41775761632.0,9298757636.0,13088579374.0,746991467553.0
2. Khẩu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khẩu hao trong năm,2. Khẩu hao trong năm,73.271.829.488,263.441.743.126,15.903.578.370,2.985.708.875,4.822.066.863,360.424.926.722,73271829488.0,263441743126.0,15903578370.0,2985708875.0,4822066863.0,360424926722.0
- Khẩu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khẩu hao trong năm,- Khẩu hao trong năm,73.271.829.488,212.904.958.006,7.462.854.091,2.985.708.875,2.497.787.940,299.123.138.400,73271829488.0,212904958006.0,7462854091.0,2985708875.0,2497787940.0,299123138400.0
- Mua lại TSCĐ thuê tài chính,II. Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,50.536.785.120,8.440.724.279,,,58.977.509.399,,50536785120.0,8440724279.0,,,58977509399.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,,,,,2.324.278.923,2.324.278.923,,,,,2324278923.0,2324278923.0
3. Giảm trong năm,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm,3. Giảm trong năm,282.921.072,43.249.422.609,498.025.881,,,44.030.369.562,282921072.0,43249422609.0,498025881.0,,,44030369562.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",282.921.072,43.249.422.609,498.025.881,,,44.030.369.562,282921072.0,43249422609.0,498025881.0,,,44030369562.0
4. Số dư cuối năm,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối năm,4. Số dư cuối năm,251.861.830.236,724.147.767.608,57.181.314.121,12.284.466.511,17.910.646.237,1.063.386.024.713,251861830236.0,724147767608.0,57181314121.0,12284466511.0,17910646237.0,1063386024713.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,1.434.760.514.385,3.856.955.282.080,19.686.787.044,24.695.097.909,47.313.942.395,5.383.411.623.813,1434760514385.0,3856955282080.0,19686787044.0,24695097909.0,47313942395.0,5383411623813.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,1.396.296.289.260,3.670.021.386.584,19.641.229.743,21.931.207.216,89.796.125.546,5.197.686.238.349,1396296289260.0,3670021386584.0,19641229743.0,21931207216.0,89796125546.0,5197686238349.0
