row_label_raw,row_label_full,20. 2. Chi tiết vốn góp của chủ sở hữu,31/12/2021,%,01/01/2021,%_1,numeric__31/12/2021,numeric__%,numeric__01/01/2021,numeric__%_1
Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,,,,,,,,
Vốn góp của các đối tượng khác,Vốn góp của công ty mẹ > Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,2.588.678.490.000,"100,00%",2.588.678.490.000,"100,00%",2588678490000.0,1.0,2588678490000.0,1.0
Cộng,Vốn góp của công ty mẹ > Cộng,Cộng,2.588.678.490.000,"100,00%",2.588.678.490.000,"100,00%",2588678490000.0,1.0,2588678490000.0,1.0
