row_label_raw,row_label_full,HÀNG TỔN KHO,31/12/2021,31/12/2021_1,01/01/2021,01/01/2021_1,numeric__31/12/2021,numeric__31/12/2021_1,numeric__01/01/2021,numeric__01/01/2021_1
HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
- Hàng đang đi đường,- Hàng đang đi đường,- Hàng đang đi đường,,,,,,,,
"- Nguyên liệu, vật liệu","- Hàng đang đi đường > - Nguyên liệu, vật liệu","- Nguyên liệu, vật liệu",169.321.634.041,,120.821.863.071,,169321634041.0,,120821863071.0,
"- Công cụ, dụng cụ","- Hàng đang đi đường > - Công cụ, dụng cụ","- Công cụ, dụng cụ",7.088.589.446,,4.589.846.761,,7088589446.0,,4589846761.0,
- Chỉ phí sản xuất kinh doanh dở dang,- Hàng đang đi đường > - Chỉ phí sản xuất kinh doanh dở dang,- Chỉ phí sản xuất kinh doanh dở dang,577.939.561.052,,291.093.240.205,,577939561052.0,,291093240205.0,
- Thành phẩm,- Hàng đang đi đường > - Thành phẩm,- Thành phẩm,913.768.328.696,,1.172.761.933.401,(49.506.058.883),913768328696.0,,1172761933401.0,-49506058883.0
- Hàng hóa,- Hàng đang đi đường > - Hàng hóa,- Hàng hóa,327.942.428.788,,1.084.841.270.579,,327942428788.0,,1084841270579.0,
- Hàng gửi đi bán,- Hàng đang đi đường > - Hàng gửi đi bán,- Hàng gửi đi bán,36.911.723.550,,21.288.735.278,,36911723550.0,,21288735278.0,
- Hàng hóa bắt động sản,- Hàng đang đi đường > - Hàng hóa bắt động sản,- Hàng hóa bắt động sản,823.283.523.038,,395.801.157.942,,823283523038.0,,395801157942.0,
Cộng,- Hàng đang đi đường > Cộng,Cộng,2.856.255.788.611,,3.091.198.047.237,(49.506.058.883),2856255788611.0,,3091198047237.0,-49506058883.0
