row_label_raw,row_label_full,Chỉ tiêu,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,An Giang_1,Đồng Tháp_1,Địa bàn khác_1,Tổng cộng_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng,numeric__An Giang_1,numeric__Đồng Tháp_1,numeric__Địa bàn khác_1,numeric__Tổng cộng_1
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,3.897.737.569.635,7.202.067.725.714,298.120.617.105,11.397.925.912.454,4.051.856.958.143,8.178.986.459.117,293.770.394.597,12.524.613.811.857,3897737569635.0,7202067725714.0,298120617105.0,11397925912454.0,4051856958143.0,8178986459117.0,293770394597.0,12524613811857.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,3.897.737.569.635,7.202.067.725.714,298.120.617.105,11.397.925.912.454,4.051.856.958.143,8.178.986.459.117,293.770.394.597,12.524.613.811.857,3897737569635.0,7202067725714.0,298120617105.0,11397925912454.0,4051856958143.0,8178986459117.0,293770394597.0,12524613811857.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,569.382.201.213,567.930.241.665,162.302.411.273,1.299.614.854.151,563.940.351.952,619.572.136.473,166.905.114.988,1.350.417.603.413,569382201213.0,567930241665.0,162302411273.0,1299614854151.0,563940351952.0,619572136473.0,166905114988.0,1350417603413.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(427.715.706.066),,,,(426.237.626.781),,,,-427715706066.0,,,,-426237626781.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,871.899.148.085,,,,924.179.976.632,,,,871899148085.0,,,,924179976632.0
Doanh thu hoạt động tải chính,Doanh thu hoạt động tải chính,Doanh thu hoạt động tải chính,,,,200.488.549.062,,,,232.360.452.111,,,,200488549062.0,,,,232360452111.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(463.008.189.278),,,,(534.709.026.110),,,,-463008189278.0,,,,-534709026110.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,207.770.163.024,,,,9.105.254.803,,,,207770163024.0,,,,9105254803.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(30.853.379.096),,,,(6.631.214.547),,,,-30853379096.0,,,,-6631214547.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(85.280.470.589),,,,(50.355.245.844),,,,-85280470589.0,,,,-50355245844.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,2.871.797.402,,,,(1.592.929.337),,,,2871797402.0,,,,-1592929337.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,703.887.618.610,,,,572.357.267.708,,,,703887618610.0,,,,572357267708.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,(610.485.950.432),,,,(2.157.693.022.691),,,,-610485950432.0,,,,-2157693022691.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(412.663.425.454),,,,(291.287.520.557),,,,-412663425454.0,,,,-291287520557.0
