row_label_raw,row_label_full,Lợi nhuận phân bổ cho cổ đông sở hữu CP phổ thông,600.436.710.886,475.463.677.442,numeric__600.436.710.886,numeric__475.463.677.442
"Quỹ khen thưởng, phúc lợi trích từ lợi nhuận sau thuế","Quỹ khen thưởng, phúc lợi trích từ lợi nhuận sau thuế","Quỹ khen thưởng, phúc lợi trích từ lợi nhuận sau thuế",,2.000.000.000,,2000000000.0
Số lượng CP phổ thông dự kiến phát hành thêm,Số lượng CP phổ thông dự kiến phát hành thêm,Số lượng CP phổ thông dự kiến phát hành thêm,129.400.000,129.400.000,129400000.0,129400000.0
Số lượng CP phổ thông đang lưu hành bình quân trong nền,Số lượng CP phổ thông đang lưu hành bình quân trong nền,Số lượng CP phổ thông đang lưu hành bình quân trong nền,258.867.849,258.867.849,258867849.0,258867849.0
Lãi suy giảm trên cổ phiếu (*),Lãi suy giảm trên cổ phiếu (*),Lãi suy giảm trên cổ phiếu (*),1.546,1.219,1546.0,1219.0
