row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2021 > Giá trị,Giá trị số sách > 31/12/2021 > Dự phòng,Giá trị số sách > 01/01/2021 > Giá trị,Giá trị số sách > 01/01/2021 > Dự phòng,Giá trị hợp lý > 31/12/2021,Giá trị hợp lý > 01/01/2021,numeric__Giá trị số sách > 31/12/2021 > Giá trị,numeric__Giá trị số sách > 31/12/2021 > Dự phòng,numeric__Giá trị số sách > 01/01/2021 > Giá trị,numeric__Giá trị số sách > 01/01/2021 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2021,numeric__Giá trị hợp lý > 01/01/2021
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,585.910.587.193,,783.217.339.870,,585.910.587.193,783.217.339.870,585910587193.0,,783217339870.0,,585910587193.0,783217339870.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,1.721.316.421.872,(66.264.240.408),1.440.262.277.327,(67.670.567.895),1.655.052.181.464,1.372.591.709.432,1721316421872.0,-66264240408.0,1440262277327.0,-67670567895.0,1655052181464.0,1372591709432.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,2.232.908.107.587,,1.413.282.888.970,,2.232.908.107.587,1.413.282.888.970,2232908107587.0,,1413282888970.0,,2232908107587.0,1413282888970.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,330.246.521.337,(528.000.000),442.255.951.974,,329.718.521.337,442.255.951.974,330246521337.0,-528000000.0,442255951974.0,,329718521337.0,442255951974.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.604.669.978.656,(22.502.203),1.140.307.114.085,,1.604.647.476.453,1.140.307.114.085,1604669978656.0,-22502203.0,1140307114085.0,,1604647476453.0,1140307114085.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,143.395.612.472,(2.000.000.000),299.495.000.000,(1.560.299.574),141.395.612.472,297.934.700.426,143395612472.0,-2000000000.0,299495000000.0,-1560299574.0,141395612472.0,297934700426.0
Cộng,Tài sản tài chính > Cộng,Cộng,6.618.447.229.117,(68.814.742.611),5.518.820.572.226,(69.230.867.469),6.549.632.486.506,5.449.589.704.757,6618447229117.0,-68814742611.0,5518820572226.0,-69230867469.0,6549632486506.0,5449589704757.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.734.986.854.462,,1.855.218.770.521,,1.734.986.854.462,1.855.218.770.521,1734986854462.0,,1855218770521.0,,1734986854462.0,1855218770521.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,581.448.360.748,,103.929.507.890,,581.448.360.748,103.929.507.890,581448360748.0,,103929507890.0,,581448360748.0,103929507890.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,7.904.577.912.259,,8.377.512.682.752,,7.904.577.912.259,8.377.512.682.752,7904577912259.0,,8377512682752.0,,7904577912259.0,8377512682752.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,32.170.951.971,,52.257.345.266,,32.170.951.971,52.257.345.266,32170951971.0,,52257345266.0,,32170951971.0,52257345266.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,72.070.898.238,,132.790.108.562,,72.070.898.238,132.790.108.562,72070898238.0,,132790108562.0,,72070898238.0,132790108562.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,10.325.254.977.678,,10.521.708.414.991,,10.325.254.977.678,10.521.708.414.991,10325254977678.0,,10521708414991.0,,10325254977678.0,10521708414991.0
