row_label_raw,row_label_full,Họ tên,Chức vụ,Năm 2021,Năm 2020,numeric__Chức vụ,numeric__Năm 2021,numeric__Năm 2020
Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,,854.400.000,802.860.000,,854400000.0,802860000.0
Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Chủ tịch,180.000.000,177.981.000,,180000000.0,177981000.0
Nguyễn Văn Hung,Nguyễn Văn Hung,Nguyễn Văn Hung,Phó chủ tịch,84.000.000,83.394.000,,84000000.0,83394000.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Thành viên,290.400.000,203.394.000,,290400000.0,203394000.0
Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Thành viên,300.000.000,125.000.000,,300000000.0,125000000.0
Nguyễn Văn Xe,Nguyễn Văn Xe,Nguyễn Văn Xe,Thành viên,,169.590.000,,,169590000.0
Hoàng Thị Thanh,Hoàng Thị Thanh,Hoàng Thị Thanh,Thành viên,,43.501.000,,,43501000.0
Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,,5.853.605.740,6.252.233.192,,5853605740.0,6252233192.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Tổng Giám Đốc,1.763.488.500,1.960.592.500,,1763488500.0,1960592500.0
Nguyễn Văn Hung,Nguyễn Văn Hung,Nguyễn Văn Hung,Phó Tổng Giám Đốc,,693.934.500,,,693934500.0
Lê Văn Thành,Lê Văn Thành,Lê Văn Thành,Phó Tổng Giám Đốc,696.998.000,690.434.500,,696998000.0,690434500.0
Lê Xuân Quế,Lê Xuân Quế,Lê Xuân Quế,Phó Tổng Giám Đốc,711.138.000,698.368.000,,711138000.0,698368000.0
Trương Vĩnh Thành,Trương Vĩnh Thành,Trương Vĩnh Thành,Phó Tổng Giám Đốc,701.272.000,692.641.000,,701272000.0,692641000.0
Lê Thị Phượng,Lê Thị Phượng,Lê Thị Phượng,Phó Tổng Giám Đốc,701.272.000,690.641.000,,701272000.0,690641000.0
Lê Tuấn Anh,Lê Tuấn Anh,Lê Tuấn Anh,Phó Tổng Giám Đốc,576.998.000,,,576998000.0,
Trương Công Khánh,Trương Công Khánh,Trương Công Khánh,Giám Đốc Tài Chính,448.133.040,462.632.000,,448133040.0,462632000.0
Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Kế Toán Trường,254.306.200,362.989.692,,254306200.0,362989692.0
