row_label_raw,row_label_full,col_0,Số đầu nămVND,Tăng do hợp nhấtkinh doanhVND,Số phải nộptrong nămVND,Số đã thực nộp/bù trừ trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Tăng do hợp nhấtkinh doanhVND,numeric__Số phải nộptrong nămVND,numeric__Số đã thực nộp/bù trừ trong nămVND,numeric__Số cuối nămVND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,,,,
Thuế thu nhập doanh nghiệp tạm nộp,Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,3.269.024.202,-,2.381.416.912,156.975.733,1.044.583.023,3269024202.0,,2381416912.0,156975733.0,1044583023.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",207.232.847,-,-,-,207.232.847,207232847.0,,,,207232847.0
Thuế thu nhập cá nhân,Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.769.586,-,5.201.687,7.039.654,6.607.553,4769586.0,,5201687.0,7039654.0,6607553.0
,,,3.481.026.635,-,2.386.618.599,164.015.387,1.258.423.423,3481026635.0,,2386618599.0,164015387.0,1258423423.0
Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,,,,,
Thuế giá trị gia tăng,Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,31.337.725.974,-,110.572.718.264,138.871.952.302,3.038.491.936,31337725974.0,,110572718264.0,138871952302.0,3038491936.0
Thuế thu nhập doanh nghiệp,Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,303.575.741.099,6.433.932.760,209.888.047.398,290.512.625.908,229.385.095.349,303575741099.0,6433932760.0,209888047398.0,290512625908.0,229385095349.0
Thuế thu nhập cá nhân,Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.295.401.614,16.314.008,13.999.862.912,13.712.020.505,3.599.558.029,3295401614.0,16314008.0,13999862912.0,13712020505.0,3599558029.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,2.443.368.636,2.443.368.636,-,,,2443368636.0,2443368636.0,
Các loại thuế khác,Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,-,1.167.992.206,1.167.992.206,-,,,1167992206.0,1167992206.0,
,,,338.208.868.687,6.450.246.768,338.071.989.416,446.707.959.557,236.023.145.314,338208868687.0,6450246768.0,338071989416.0,446707959557.0,236023145314.0
