row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Lãi suất,Số cuối năm > VNDKỳ hạn,Số đầu năm > Giá trị,Số đầu năm > Lãi suất,Số đầu năm > VNDKỳ hạn,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Lãi suất,numeric__Số cuối năm > VNDKỳ hạn,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Lãi suất,numeric__Số đầu năm > VNDKỳ hạn
Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 1 (XDCCH2124001) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,927.091.700.000,"9,23%","3 năm, được gia hạn thành 5 năm",1.000.000.000.000,"11,70%","3 năm, được gia hạn 1 phần thành 5 năm",927091700000.0,0.09230000000000001,,1000000000000.0,0.11699999999999999,
Chi phí phát hành trái phiếu,Gói 1 (XDCCH2124001) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,,,(155.109.487),,,,,,-155109487.0,,
,,,927.091.700.000,,,999.844.890.513,,,927091700000.0,,,999844890513.0,,
Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 2 (XDCCH2125002) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.100.000.000.000,"9,17%",4 năm,1.100.000.000.000,"11,70%",4 năm,1100000000000.0,0.0917,,1100000000000.0,0.11699999999999999,
Chi phí phát hành trái phiếu,Gói 2 (XDCCH2125002) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(147.570.156),,,(698.699.520),,,-147570156.0,,,-698699520.0,,
,,,1.099.852.429.844,,,1.099.301.300.480,,,1099852429844.0,,,1099301300480.0,,
Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 3 (XDCCH2126003) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.200.000.000.000,"9,17%",5 năm,1.200.000.000.000,"11,70%",5 năm,1200000000000.0,0.0917,,1200000000000.0,0.11699999999999999,
Chi phí phát hành trái phiếu,Gói 3 (XDCCH2126003) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(625.629.789),,,(1.106.681.269),,,-625629789.0,,,-1106681269.0,,
,,,1.199.374.370.211,,,1.198.893.318.731,,,1199374370211.0,,,1198893318731.0,,
Tổng cộng,Gói 3 (XDCCH2126003) > Tổng cộng,Tổng cộng,3.226.318.500.055,,,3.298.039.509.724,,,3226318500055.0,,,3298039509724.0,,
