row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Phải thu về cho vay ngắn hạn,a. Phải thu về cho vay ngắn hạn,a. Phải thu về cho vay ngắn hạn,a. Phải thu về cho vay ngắn hạn,a. Phải thu về cho vay ngắn hạn,,
Công ty Cổ phần Đầu tư Xây dựng DAT (i),a. Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng DAT (i),Công ty Cổ phần Đầu tư Xây dựng DAT (i),1.100.000.000.000,-,1100000000000.0,
Công ty Cổ phần Kinh doanh Bất động sảnKinh Bắc (ii),a. Phải thu về cho vay ngắn hạn > Công ty Cổ phần Kinh doanh Bất động sảnKinh Bắc (ii),Công ty Cổ phần Kinh doanh Bất động sảnKinh Bắc (ii),578.682.500.000,946.032.500.000,578682500000.0,946032500000.0
Công ty Cổ phần Sunshine Tây Hồ (iii),a. Phải thu về cho vay ngắn hạn > Công ty Cổ phần Sunshine Tây Hồ (iii),Công ty Cổ phần Sunshine Tây Hồ (iii),298.950.000.000,370.540.000.000,298950000000.0,370540000000.0
Công ty TNHH Dịch vụ Kinh doanh Nam Việt (iv),a. Phải thu về cho vay ngắn hạn > Công ty TNHH Dịch vụ Kinh doanh Nam Việt (iv),Công ty TNHH Dịch vụ Kinh doanh Nam Việt (iv),185.600.000.000,-,185600000000.0,
Công ty TNHH Đầu tư và Xây dựng Tân Hưng (v),a. Phải thu về cho vay ngắn hạn > Công ty TNHH Đầu tư và Xây dựng Tân Hưng (v),Công ty TNHH Đầu tư và Xây dựng Tân Hưng (v),132.000.000.000,-,132000000000.0,
Công ty Cổ phần Vinaminco Khánh Hòa,a. Phải thu về cho vay ngắn hạn > Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,-,642.580.000.000,,642580000000.0
Công ty TNHH Xây dựng Đất Việt,a. Phải thu về cho vay ngắn hạn > Công ty TNHH Xây dựng Đất Việt,Công ty TNHH Xây dựng Đất Việt,-,418.525.000.000,,418525000000.0
Công ty Cổ phần Đầu tư Phát triển Thuận PhúLăng Cô,a. Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Thuận PhúLăng Cô,Công ty Cổ phần Đầu tư Phát triển Thuận PhúLăng Cô,-,73.490.000.000,,73490000000.0
Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,a. Phải thu về cho vay ngắn hạn > Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,-,16.000.000.000,,16000000000.0
,,,2.295.232.500.000,2.467.167.500.000,2295232500000.0,2467167500000.0
b. Phải thu về cho vay dài hạn,b. Phải thu về cho vay dài hạn,b. Phải thu về cho vay dài hạn,b. Phải thu về cho vay dài hạn,b. Phải thu về cho vay dài hạn,,
Công ty Cổ phần Đầu tư Xây dựng DAT (i),b. Phải thu về cho vay dài hạn > Công ty Cổ phần Đầu tư Xây dựng DAT (i),Công ty Cổ phần Đầu tư Xây dựng DAT (i),2.200.000.000.000,3.300.000.000.000,2200000000000.0,3300000000000.0
,,,2.200.000.000.000,3.300.000.000.000,2200000000000.0,3300000000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu về cho vay ngắn hạn các bên liên quan chủ yếu (Chi tiết tại Thuyết minh số 40),Trong đó: > Phải thu về cho vay ngắn hạn các bên liên quan chủ yếu (Chi tiết tại Thuyết minh số 40),Phải thu về cho vay ngắn hạn các bên liên quan chủ yếu (Chi tiết tại Thuyết minh số 40),298.950.000.000,370.540.000.000,298950000000.0,370540000000.0
