row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Phương tiệnvận tải, truyềnđần",Thiết bịvăn phòng,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Phương tiệnvận tải, truyềnđần",numeric__Thiết bịvăn phòng,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,25.906.277.674,92.531.077.818,535.375.455,118.972.730.947,25906277674.0,92531077818.0,535375455.0,118972730947.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,209.571.085,586.363.636,153.163.637,949.098.358,209571085.0,586363636.0,153163637.0,949098358.0
Chuyển từ bất động sảnđầu tư,NGUYÊN GIÁ > Chuyển từ bất động sảnđầu tư,Chuyển từ bất động sảnđầu tư,41.864.788.180,-,-,41.864.788.180,41864788180.0,,,41864788180.0
Chuyển sang bất động sảnđầu tư,NGUYÊN GIÁ > Chuyển sang bất động sảnđầu tư,Chuyển sang bất động sảnđầu tư,(25.906.277.674),-,-,(25.906.277.674),-25906277674.0,,,-25906277674.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,42.074.359.265,93.117.441.454,688.539.092,135.880.339.811,42074359265.0,93117441454.0,688539092.0,135880339811.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.145.817.769,64.210.827.691,521.314.860,67.877.960.320,3145817769.0,64210827691.0,521314860.0,67877960320.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,241.247.529,8.776.073.548,20.877.280,9.038.198.357,241247529.0,8776073548.0,20877280.0,9038198357.0
Chuyển từ bất động sảnđầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển từ bất động sảnđầu tư,Chuyển từ bất động sảnđầu tư,1.596.418.738,-,-,1.596.418.738,1596418738.0,,,1596418738.0
Chuyển sang bất động sảnđầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang bất động sảnđầu tư,Chuyển sang bất động sảnđầu tư,(3.145.817.769),-,-,(3.145.817.769),-3145817769.0,,,-3145817769.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.837.666.267,72.986.901.239,542.192.140,75.366.759.646,1837666267.0,72986901239.0,542192140.0,75366759646.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,22.760.459.905,28.320.250.127,14.060.595,51.094.770.627,22760459905.0,28320250127.0,14060595.0,51094770627.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,40.236.692.998,20.130.540.215,146.346.952,60.513.580.165,40236692998.0,20130540215.0,146346952.0,60513580165.0
