row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,-,421.160.570,,,421160570.0
Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Chi phí mua cây,Không còn là bên liên quan,185.554.093,,,185554093.0
Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),,1.931.905.866,303.205.627,,1931905866.0,303205627.0
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Chi phí hỗ trợ lãi suất cho khách hàng,1.246.354.618,-,,1246354618.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,441.299.538,-,,441299538.0,
Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Chi phí thuê xe,109.333.333,-,,109333333.0,
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Trích trước chi phí in lịch,67.632.151,Chưa là bên liên quan,,67632151.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Trích trước phí dịch vụ vận hành,67.286.226,-,,67286226.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher,-,271.908.800,,,271908800.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,-,31.296.827,,,31296827.0
Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),,207.540.000,207.540.000,,207540000.0,207540000.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả khác,200.000.000,200.000.000,,200000000.0,200000000.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả khác,7.540.000,7.540.000,,7540000.0,7540000.0
