row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.282.192,-,-,-,-,2.282.192,,,2282192.0,,,,,2282192.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.277.007,-,-,-,-,3.277.007,,,3277007.0,,,,,3277007.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,15.018.724,227.160,-,-,-,15.245.884,,,15018724.0,227160.0,,,,15245884.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,30.274,-,-,-,-,30.274,,,30274.0,,,,,30274.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.298.430,447.793,6.771.201,14.370.578,27.081.514,12.871.040,37.483.772,101.324.328,2298430.0,447793.0,6771201.0,14370578.0,27081514.0,12871040.0,37483772.0,101324328.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,5.000.150,50.342,2.828.684,8.281.480,5.397.828,21.558.484,,,5000150.0,50342.0,2828684.0,8281480.0,5397828.0,21558484.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,1.214.861,-,-,-,1.220.202,2.435.063,,,1214861.0,,,,1220202.0,2435063.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,366,13,7.573,175.759,2.980.873,3.164.584,,,366.0,13.0,7573.0,175759.0,2980873.0,3164584.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,5.865,-,1.187.816,120.106,876.630,1.442.109,-,3.632.526,5865.0,,1187816.0,120106.0,876630.0,1442109.0,,3632526.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.304.295,447.793,34.782.591,14.768.199,30.794.401,22.770.388,47.082.675,152.950.342,2304295.0,447793.0,34782591.0,14768199.0,30794401.0,22770388.0,47082675.0,152950342.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.423,24.384,27.910,-,-,55.717,,,3423.0,24384.0,27910.0,,,55717.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,6.107.530,3.970.060,1.178.840,-,-,11.256.430,,,6107530.0,3970060.0,1178840.0,,,11256430.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,52.882.664,17.160.797,36.504.587,11.708.975,419,118.257.442,,,52882664.0,17160797.0,36504587.0,11708975.0,419.0,118257442.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.000.000,-,-,-,-,3.000.000,,,3000000.0,,,,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.919.756,32.441,402.014,117.148,-,3.471.359,,,2919756.0,32441.0,402014.0,117148.0,,3471359.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,64.913.373,21.187.682,38.113.351,11.826.123,419,136.040.948,,,64913373.0,21187682.0,38113351.0,11826123.0,419.0,136040948.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.304.295,447.793,(30.130.782),(6.419.483),(7.318.950),10.944.265,47.082.256,16.909.394,2304295.0,447793.0,-30130782.0,-6419483.0,-7318950.0,10944265.0,47082256.0,16909394.0
