row_label_raw,row_label_full,Được phân loại là tài sản tài chínhđược xác định theo giá trị hợp lýthông qua báo cáo kết quả hoạt độngkinh doanh- Các công cụ tài chính phải sinh vàcác tài sản tài chính khác > Được phân loại là các khoản đầu tưnấm giữ đến ngày đáo hạn:- Trái phiếu chính phủ/Tín phiếuNgân hàng Nhà nước không có giániêm yết > - Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,31/12/2018 > Giá trị ghi số Triệu VND > - > 200.612 > 4.426.291,31/12/2018 > Giá trị hợp lý Triệu VND > (*),31/12/2017 > Giá trị ghi số Triệu VND > 30.274 > 2.000.000 > 8.561.984,31/12/2017 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2018 > Giá trị ghi số Triệu VND > - > 200.612 > 4.426.291,numeric__31/12/2018 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2017 > Giá trị ghi số Triệu VND > 30.274 > 2.000.000 > 8.561.984,numeric__31/12/2017 > Giá trị hợp lý Triệu VND > (*)
"Được phân loại là các khoản cho vayvà phải thu:- Tiền mặt, vàng","Được phân loại là các khoản cho vayvà phải thu:- Tiền mặt, vàng","Được phân loại là các khoản cho vayvà phải thu:- Tiền mặt, vàng",2.356.196,2.356.196,2.282.192,2.282.192,2356196.0,2356196.0,2282192.0,2282192.0
- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,6.412.125,6.412.125,3.277.007,3.277.007,6412125.0,6412125.0,3277007.0,3277007.0
- Tiền gửi và cho vay các tổ chức tíndụng khác,- Tiền gửi và cho vay các tổ chức tíndụng khác,- Tiền gửi và cho vay các tổ chức tíndụng khác,19.050.864,(*),15.245.884,(*),19050864.0,,15245884.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,102.971.210,(*),100.268.300,(*),102971210.0,,100268300.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,534.592,(*),745.395,(*),534592.0,,745395.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.188.031,(*),993.421,(*),1188031.0,,993421.0,
Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,1.376.756,1.377.239,4.000.222,4.201.520,1376756.0,1377239.0,4000222.0,4201520.0
- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,42.185,42.185,38.150,38.638,42185.0,42185.0,38150.0,38638.0
- Trái phiếu Chính phủ không có giániêm yết,- Trái phiếu Chính phủ không có giániêm yết,- Trái phiếu Chính phủ không có giániêm yết,8.857.626,(*),5.425.070,(*),8857626.0,,5425070.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",968.720,(*),2.332.209,(*),968720.0,,2332209.0,
