row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2018,Tỷ giá hối đoái tại ngày > 31/12/2017,numeric__Tỷ giá hối đoái tại ngày > 31/12/2018,numeric__Tỷ giá hối đoái tại ngày > 31/12/2017
USD/VND,USD/VND,USD/VND,23.220,22.670,23220.0,22670.0
EUR/VND,EUR/VND,EUR/VND,26.567,27.102,26567.0,27102.0
XAU/VND (chỉ),XAU/VND (chỉ),XAU/VND (chỉ),3.642.000,3.614.000,3642000.0,3614000.0
GBP/VND,GBP/VND,GBP/VND,29.450,30.527,29450.0,30527.0
CHF/VND,CHF/VND,CHF/VND,23.595,23.188,23595.0,23188.0
CAD/VND,CAD/VND,CAD/VND,17.036,17.963,17036.0,17963.0
AUD/VND,AUD/VND,AUD/VND,16.359,17.624,16359.0,17624.0
SGD/VND,SGD/VND,SGD/VND,16.995,16.894,16995.0,16894.0
NZD/VND,NZD/VND,NZD/VND,15.580,16.009,15580.0,16009.0
HKD/VND,HKD/VND,HKD/VND,2.964,2.892,2964.0,2892.0
NOK/VND,NOK/VND,NOK/VND,2.668,2.744,2668.0,2744.0
THB/VND,THB/VND,THB/VND,717,694,717.0,694.0
JPY/VND,JPY/VND,JPY/VND,208,201,208.0,201.0
