row_label_raw,row_label_full,Số dư cuối năm,31/12/2018Triệu VNDPhải thu/(phải trả),31/12/2017Triệu VND,numeric__31/12/2018Triệu VNDPhải thu/(phải trả),numeric__31/12/2017Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi từ công ty con,Công ty con > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(732.647),(717.747),-732647.0,-717747.0
Lãi phải trả công ty con,Công ty con > Lãi phải trả công ty con,Lãi phải trả công ty con,(2.702),(271),-2702.0,-271.0
Đầu tư góp vốn vào công ty con,Công ty con > Đầu tư góp vốn vào công ty con,Đầu tư góp vốn vào công ty con,955.000,955.000,955000.0,955000.0
Phải trả công ty con,Công ty con > Phải trả công ty con,Phải trả công ty con,(210.839),(210.839),-210839.0,-210839.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(1.135.995),(1.397.271),-1135995.0,-1397271.0
Vay từ các cổ đông lớn là tổ chức,Các cổ đông lớn > Vay từ các cổ đông lớn là tổ chức,Vay từ các cổ đông lớn là tổ chức,(638.550),(1.065.490),-638550.0,-1065490.0
Tiền gửi tại các cổ đông lớn,Các cổ đông lớn > Tiền gửi tại các cổ đông lớn,Tiền gửi tại các cổ đông lớn,-,1.849.452,,1849452.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(75.873),(86.463),-75873.0,-86463.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(1.404),(625),-1404.0,-625.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,1.885,2.637,1885.0,2637.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,5,-,5.0,
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2018Triệu VNDThu nhập/(chi phí),2017Triệu VND,,
Công ty con,Công ty con,Công ty con,,,,
Chi phí lãi,Công ty con > Chi phí lãi,Chi phí lãi,(15.125),(6.568),-15125.0,-6568.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Thu nhập lãi,Các cổ đông lớn > Thu nhập lãi,Thu nhập lãi,981,898,981.0,898.0
Chi phí lãi,Các cổ đông lớn > Chi phí lãi,Chi phí lãi,(34.921),(22.332),-34921.0,-22332.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu nhập lãi,Các bên liên quan khác (*) > Thu nhập lãi,Thu nhập lãi,124,176,124.0,176.0
Chi phí lãi,Các bên liên quan khác (*) > Chi phí lãi,Chi phí lãi,(4.535),(6.065),-4535.0,-6065.0
Thù lao cho các Thành viên Hội đồng Quản trị (**),Các bên liên quan khác (*) > Thù lao cho các Thành viên Hội đồng Quản trị (**),Thù lao cho các Thành viên Hội đồng Quản trị (**),(21.437),(21.175),-21437.0,-21175.0
Thù lao cho các Thành viên Ban Kiểm soát (**),Các bên liên quan khác (*) > Thù lao cho các Thành viên Ban Kiểm soát (**),Thù lao cho các Thành viên Ban Kiểm soát (**),(14.500),(4.500),-14500.0,-4500.0
Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,Các bên liên quan khác (*) > Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,(33.680),(38.285),-33680.0,-38285.0
