row_label_raw,row_label_full,2018,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,440.632,665.130,216.153,46.332,591.559,1.959.806,440632.0,665130.0,216153.0,46332.0,591559.0,1959806.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,67.371,22.858,-,-,90.229,,67371.0,22858.0,,,90229.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,43.060,22.895,21.549,1.436,20.657,109.597,43060.0,22895.0,21549.0,1436.0,20657.0,109597.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(13.268),(6.836),(1.311),-,(21.415),,-13268.0,-6836.0,-1311.0,,-21415.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,483.692,742.128,253.724,46.457,612.216,2.138.217,483692.0,742128.0,253724.0,46457.0,612216.0,2138217.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.453,458.566,178.780,38.395,446.544,1.174.738,52453.0,458566.0,178780.0,38395.0,446544.0,1174738.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.413,47.770,13.903,2.478,38.241,114.805,12413.0,47770.0,13903.0,2478.0,38241.0,114805.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(13.268),(6.836),(1.311),-,(21.415),,-13268.0,-6836.0,-1311.0,,-21415.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,64.866,493.068,185.847,39.562,484.785,1.268.128,64866.0,493068.0,185847.0,39562.0,484785.0,1268128.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,388.179,206.564,37.373,7.937,145.015,785.068,388179.0,206564.0,37373.0,7937.0,145015.0,785068.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,418.826,249.060,67.877,6.895,127.431,870.089,418826.0,249060.0,67877.0,6895.0,127431.0,870089.0
