row_label_raw,row_label_full,col_0,col_1,2018Triệu VND,2017Triệu VND,numeric__col_1,numeric__2018Triệu VND,numeric__2017Triệu VND
,,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,(180.545),(163.138),,-180545.0,-163138.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",104.228,241.752,,104228.0,241752.0
08,08,08,"Tiền thu từ thanh lý đầu tư, góp vốn vào đơn vị khác",1.736.285,583.980,,1736285.0,583980.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn",1.679,3.267,,1679.0,3267.0
II,II,II,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNGĐẦU TƯ,1.661.647,665.861,,1661647.0,665861.0
II,II,II,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
04,II > 04,04,Cổ tức trả cho cổ đông,(10),(19),,-10.0,-19.0
III,II > III,III,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNGTÀI CHÍNH,(10),(19),,-10.0,-19.0
IV,II > IV,IV,LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,5.014.102,8.738.459,,5014102.0,8738459.0
V,II > V,V,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIẾNTẠI THỜI ĐIỂM ĐẦU NĂM,22.805.083,14.066.624,,22805083.0,14066624.0
VII,II > VII,VII,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN TẠITHỜI ĐIỂM CUỐI NĂM (THUYẾT MINH 31),27.819.185,22.805.083,,27819185.0,22805083.0
