row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận tải truyền dẫn VND,Cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải truyền dẫn VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,73.490.045.721,21.903.645.298,95.393.691.019,73490045721.0,21903645298.0,95393691019.0
- Thuê tài chính trong năm,NGUYÊN GIÁ > - Thuê tài chính trong năm,- Thuê tài chính trong năm,5.002.005.185,4.420.000.000,9.422.005.185,5002005185.0,4420000000.0,9422005185.0
- Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,-,(7.786.953.452),(7.786.953.452),,-7786953452.0,-7786953452.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,78.492.050.906,18.536.691.846,97.028.742.752,78492050906.0,18536691846.0,97028742752.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
01/01/2025,HAO MÒN LỦY KẾ > 01/01/2025,01/01/2025,(19.043.350.701),(11.458.953.855),(30.502.304.556),-19043350701.0,-11458953855.0,-30502304556.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(10.424.827.342),(4.854.603.576),(15.279.430.918),-10424827342.0,-4854603576.0,-15279430918.0
- Mua lại TSCĐ thuê tài chính,HAO MÒN LỦY KẾ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,-,5.346.507.793,5.346.507.793,,5346507793.0,5346507793.0
31/12/2025,HAO MÒN LỦY KẾ > 31/12/2025,31/12/2025,(29.468.178.043),(10.967.049.638),(40.435.227.681),-29468178043.0,-10967049638.0,-40435227681.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,54.446.695.020,10.444.691.443,64.891.386.463,54446695020.0,10444691443.0,64891386463.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,49.023.872.863,7.569.642.208,56.593.515.071,49023872863.0,7569642208.0,56593515071.0
