row_label_raw,row_label_full,Số đầu năm,Năm 2025VND > 2.208.251.250.206,Năm 2024VND > 2.106.816.432.629,numeric__Năm 2025VND > 2.208.251.250.206,numeric__Năm 2024VND > 2.106.816.432.629
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,170.658.109.166,261.903.243.445,170658109166.0,261903243445.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(189.694.193.932),(160.468.425.868),-189694193932.0,-160468425868.0
Số cuối năm,Số cuối năm,Số cuối năm,2.189.215.165.440,2.208.251.250.206,2189215165440.0,2208251250206.0
