row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
1. Công ty CP Điện Việt Lào,Tên công ty > 1. Công ty CP Điện Việt Lào,1. Công ty CP Điện Việt Lào,"Tầng 9, khu B, tòa nhà HH4, đường Phạm Hùng, phường Từ Liêm, Hà Nội",Sản xuất điện thương phẩm,"35,11%","35,11%","35,11%","35,11%",,,0.35109999999999997,0.35109999999999997,0.35109999999999997,0.35109999999999997
2. Công ty CP Sông Đà 2,Tên công ty > 2. Công ty CP Sông Đà 2,2. Công ty CP Sông Đà 2,"Km 10, đường Nguyễn Trãi, phường Hà Đông, Hà Nội",Xây lắp,"40,77%","40,77%","40,77%","40,77%",,,0.4077,0.4077,0.4077,0.4077
3. Công ty CP Sông Đà 27,Tên công ty > 3. Công ty CP Sông Đà 27,3. Công ty CP Sông Đà 27,"Số nhà 155, đường Trần Phú, phường Trần Phú, tỉnh Hà Tĩnh",Xây lắp,"46,15%","46,15%","46,15%","46,45%",,,0.46149999999999997,0.46149999999999997,0.46149999999999997,0.4645
4. Công ty CP Phát triển nhà Khánh Hòa,Tên công ty > 4. Công ty CP Phát triển nhà Khánh Hòa,4. Công ty CP Phát triển nhà Khánh Hòa,"Số 23 Nguyễn Thiện Thuật, phường Nha Trang, Khánh Hòa",Bất động sản,"36,00%","36,00%","36,00%","36,00%",,,0.36,0.36,0.36,0.36
5. Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Tên công ty > 5. Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,5. Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,"Số 19 phố Trúc Khê, phường Láng, Hà Nội",Bất động sản,"30,00%","30,00%","30,00%","30,00%",,,0.3,0.3,0.3,0.3
6. Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Tên công ty > 6. Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,6. Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,"Tầng 5, nhà G10, đường Nguyễn Trãi, phường Thanh Liệt, Hà Nội",Dịch vụ tư vấn,"50,00%","50,00%","50,00%","50,00%",,,0.5,0.5,0.5,0.5
7. Công ty CP Sông Đà 12,Tên công ty > 7. Công ty CP Sông Đà 12,7. Công ty CP Sông Đà 12,"SV05-01, Khu Đô thị Văn Phú, phường Kiến Hưng, Hà Nội",Xây lắp,"49,00%","49,00%","49,00%","49,00%",,,0.49,0.49,0.49,0.49
8. Công ty CP Cơ khí Lắp máy Sông Đà,Tên công ty > 8. Công ty CP Cơ khí Lắp máy Sông Đà,8. Công ty CP Cơ khí Lắp máy Sông Đà,"Lô A38, khu dịch vụ Đồng Dưa, phường Hà Đông, Hà Nội",Xây lắp,"46,15%","46,15%","46,15%","46,15%",,,0.46149999999999997,0.46149999999999997,0.46149999999999997,0.46149999999999997
9. Công ty CP Cao su Phú Riềng Kratie,Tên công ty > 9. Công ty CP Cao su Phú Riềng Kratie,9. Công ty CP Cao su Phú Riềng Kratie,"Thôn Phú Nguyên, xã Phú Riềng, Đồng Nai","SX, XNK cao su","25,00%","25,00%","25,00%","25,00%",,,0.25,0.25,0.25,0.25
