row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
TÀI SẢN NGÂN HẠN,TÀI SẢN NGÂN HẠN,TÀI SẢN NGÂN HẠN,100,,11.215.199.827.467,10.976.200.581.479,100.0,,11215199827467.0,10976200581479.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,1.872.027.401.774,1.764.827.369.623,110.0,4.0,1872027401774.0,1764827369623.0
Tiền,Tiền,Tiền,111,,1.598.738.401.774,1.358.452.369.623,111.0,,1598738401774.0,1358452369623.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,273.289.000.000,406.375.000.000,112.0,,273289000000.0,406375000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5,2.647.345.618.172,1.992.449.429.387,120.0,5.0,2647345618172.0,1992449429387.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,5.1,172.618.561,172.618.561,121.0,51.0,172618561.0,172618561.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,122.0,,,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,2.647.172.999.611,1.992.276.810.826,123.0,52.0,2647172999611.0,1992276810826.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,4.825.922.020.069,5.262.338.848.196,130.0,,4825922020069.0,5262338848196.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,1.907.738.641.810,2.495.244.435.174,131.0,6.0,1907738641810.0,2495244435174.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,235.622.782.363,470.754.147.199,132.0,7.0,235622782363.0,470754147199.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,-,-,133.0,,,
Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,134.0,,,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,3.248.952.402.556,3.172.398.486.840,135.0,9.0,3248952402556.0,3172398486840.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,1.622.823.358.780,1.322.363.393.952,136.0,8.0,1622823358780.0,1322363393952.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,10,(2.189.215.165.440),(2.208.251.250.206),137.0,10.0,-2189215165440.0,-2208251250206.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,-,9.829.635.237,139.0,,,9829635237.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,11,1.671.645.237.277,1.739.938.865.736,140.0,11.0,1671645237277.0,1739938865736.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,1.671.645.237.277,1.739.938.865.736,141.0,,1671645237277.0,1739938865736.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,-,-,149.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,198.259.550.175,216.646.068.537,150.0,,198259550175.0,216646068537.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,12,22.397.067.823,28.565.737.769,151.0,12.0,22397067823.0,28565737769.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,142.365.324.393,162.937.801.897,152.0,,142365324393.0,162937801897.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,19,33.497.157.959,25.142.528.871,153.0,19.0,33497157959.0,25142528871.0
Giao dịch mua bán lại trái phiếu,Giao dịch mua bán lại trái phiếu,Giao dịch mua bán lại trái phiếu,154,,-,-,154.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,,-,-,155.0,,,
