row_label_raw,row_label_full,col_0,01/01/2025,Số phải nộp trong năm,Số đã thực nộp/ khấu trừ trong năm,31/12/2025,numeric__01/01/2025,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp/ khấu trừ trong năm,numeric__31/12/2025
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,VND,VND,VND,VND,,,,
- Thuế giá trị gia tăng hàng bán nội địa,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng hàng bán nội địa,- Thuế giá trị gia tăng hàng bán nội địa,80.985.380.525,183.062.787.695,181.757.956.997,82.290.211.223,80985380525.0,183062787695.0,181757956997.0,82290211223.0
- Thuế giá trị gia tăng hàng nhập khẩu,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng hàng nhập khẩu,- Thuế giá trị gia tăng hàng nhập khẩu,-,829.348.718,829.348.718,-,,829348718.0,829348718.0,
"- Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > - Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,28.973.629,28.973.629,-,,28973629.0,28973629.0,
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,84.012.378.033,210.434.705.133,119.269.321.938,175.177.761.228,84012378033.0,210434705133.0,119269321938.0,175177761228.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,11.038.637.469,19.512.272.177,21.219.925.630,9.330.984.016,11038637469.0,19512272177.0,21219925630.0,9330984016.0
- Thuế tài nguyên,Thuế và các khoản phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,12.936.086.049,253.681.811.661,249.879.700.984,16.738.196.726,12936086049.0,253681811661.0,249879700984.0,16738196726.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",823.676.540,4.997.262.297,4.942.695.009,878.243.828,823676540.0,4997262297.0,4942695009.0,878243828.0
- Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,115.481.683,297.503.380,297.503.380,115.481.683,115481683.0,297503380.0,297503380.0,115481683.0
- Các loại thuế khác,Thuế và các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,4.129.131.617,23.505.582.211,22.441.787.352,5.192.926.476,4129131617.0,23505582211.0,22441787352.0,5192926476.0
- Phí cấp quyền khai thác tài nguyên nước,Thuế và các khoản phải nộp > - Phí cấp quyền khai thác tài nguyên nước,- Phí cấp quyền khai thác tài nguyên nước,-,1.090.513.554,893.348.000,197.165.554,,1090513554.0,893348000.0,197165554.0
"- Phí, lệ phí và các khoản khác","Thuế và các khoản phải nộp > - Phí, lệ phí và các khoản khác","- Phí, lệ phí và các khoản khác",45.442.678.758,28.588.480.833,22.235.120.106,51.796.039.485,45442678758.0,28588480833.0,22235120106.0,51796039485.0
Cộng,Thuế và các khoản phải nộp > Cộng,Cộng,239.483.450.674,726.029.241.288,623.795.681.743,341.717.010.219,239483450674.0,726029241288.0,623795681743.0,341717010219.0
,,,01/01/2025,Số phải nộp trong năm,Số đã thực nộp/ khấu trừ trong năm,31/12/2025,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,VND,VND,VND,VND,,,,
- Thuế giá trị gia tăng,Thuế và các khoản phải thu > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,23.985.503.299,161.293.058,4.560.514.984,28.384.725.225,23985503299.0,161293058.0,4560514984.0,28384725225.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,409.919.067,408.607.194,426.653.025,427.964.898,409919067.0,408607194.0,426653025.0,427964898.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,75.705.487,82.022.608,55.070.618,48.753.497,75705487.0,82022608.0,55070618.0,48753497.0
- Thuế tài nguyên,Thuế và các khoản phải thu > - Thuế tài nguyên,- Thuế tài nguyên,657.547.327,5.079.125.677,5.932.140.111,1.510.561.761,657547327.0,5079125677.0,5932140111.0,1510561761.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",-,4.345.755.590,7.457.054.477,3.111.298.887,,4345755590.0,7457054477.0,3111298887.0
"- Phí, lệ phí và các khoản khác","Thuế và các khoản phải thu > - Phí, lệ phí và các khoản khác","- Phí, lệ phí và các khoản khác",13.853.691,-,-,13.853.691,13853691.0,,,13853691.0
Cộng,Thuế và các khoản phải thu > Cộng,Cộng,25.142.528.871,10.076.804.127,18.431.433.215,33.497.157.959,25142528871.0,10076804127.0,18431433215.0,33497157959.0
