row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Thương hiệuSông ĐàVND,Nhân hiệuhàng hoáVND,Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Thương hiệuSông ĐàVND,numeric__Nhân hiệuhàng hoáVND,numeric__Phần mềmmáy vi tínhVND,numeric__TSCĐvô hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,8.349.978.200,1.104.763.000,95.000.000,5.574.920.923,267.454.545,15.392.116.668,8349978200.0,1104763000.0,95000000.0,5574920923.0,267454545.0,15392116668.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,-,342.240.000,-,342.240.000,,,,342240000.0,,342240000.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,-,-,-,122.000.000,-,122.000.000,,,,122000000.0,,122000000.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,8.349.978.200,1.104.763.000,95.000.000,6.039.160.923,267.454.545,15.856.356.668,8349978200.0,1104763000.0,95000000.0,6039160923.0,267454545.0,15856356668.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,,
01/01/2025,HAO MÒN LỦY KẾ > 01/01/2025,01/01/2025,(337.478.200),(1.104.763.000),(23.033.410),(4.698.678.130),(225.187.681),(6.389.140.421),-337478200.0,-1104763000.0,-23033410.0,-4698678130.0,-225187681.0,-6389140421.0
- Khấu hao trongnăm,HAO MÒN LỦY KẾ > - Khấu hao trongnăm,- Khấu hao trongnăm,-,-,(19.040.952),(261.529.004),(25.818.180),(306.388.136),,,-19040952.0,-261529004.0,-25818180.0,-306388136.0
- Phân loại lại,HAO MÒN LỦY KẾ > - Phân loại lại,- Phân loại lại,-,-,-,(122.000.000),-,(122.000.000),,,,-122000000.0,,-122000000.0
31/12/2025,HAO MÒN LỦY KẾ > 31/12/2025,31/12/2025,(337.478.200),(1.104.763.000),(42.074.362),(5.082.207.134),(251.005.861),(6.817.528.557),-337478200.0,-1104763000.0,-42074362.0,-5082207134.0,-251005861.0,-6817528557.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,8.012.500.000,-,71.966.590,876.242.793,42.266.864,9.002.976.247,8012500000.0,,71966590.0,876242793.0,42266864.0,9002976247.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,8.012.500.000,-,52.925.638,956.953.789,16.448.684,9.038.828.111,8012500000.0,,52925638.0,956953789.0,16448684.0,9038828111.0
