row_label_raw,row_label_full,col_0,Năm 2025VND,Năm 2024VND,numeric__Năm 2025VND,numeric__Năm 2024VND
Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,,
Doanh thu cung cấp dịch vụ,Công ty Cổ phần Sông Đà 2 > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,243.873.000,-,243873000.0,
Công ty TNHH điện Xekaman 1,Công ty TNHH điện Xekaman 1,Công ty TNHH điện Xekaman 1,Công ty TNHH điện Xekaman 1,Công ty TNHH điện Xekaman 1,,
Doanh thu khối lượng thu công trình,Công ty TNHH điện Xekaman 1 > Doanh thu khối lượng thu công trình,Doanh thu khối lượng thu công trình,7.974.282.734,3.000.000.000,7974282734.0,3000000000.0
Công ty TNHH điện Xekaman 3,Công ty TNHH điện Xekaman 3,Công ty TNHH điện Xekaman 3,Công ty TNHH điện Xekaman 3,Công ty TNHH điện Xekaman 3,,
Doanh thu cung cấp dịch vụ,Công ty TNHH điện Xekaman 3 > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,-,2.001.434.377,,2001434377.0
Công ty Cổ phần điện Việt Lào,Công ty Cổ phần điện Việt Lào,Công ty Cổ phần điện Việt Lào,Công ty Cổ phần điện Việt Lào,Công ty Cổ phần điện Việt Lào,,
Doanh thu cung cấp dịch vụ,Công ty Cổ phần điện Việt Lào > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,815.497.400,1.072.890.763,815497400.0,1072890763.0
Thu nợ gốc cho vay,Công ty Cổ phần điện Việt Lào > Thu nợ gốc cho vay,Thu nợ gốc cho vay,-,10.000.000.000,,10000000000.0
Lãi cho vay,Công ty Cổ phần điện Việt Lào > Lãi cho vay,Lãi cho vay,49.764.648.334,62.722.291.524,49764648334.0,62722291524.0
Cổ tức đã nhận,Công ty Cổ phần điện Việt Lào > Cổ tức đã nhận,Cổ tức đã nhận,553.268.491.090,384.300.808.000,553268491090.0,384300808000.0
Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin,Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin,Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin,Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin,Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin,,
Doanh thu cung cấp dịch vụ,Công ty TNHH Tư vấn Xây dựngSông Đà – Ucrin > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,214.750.226,-,214750226.0,
