row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > 32. Chi phí thuế thu nhập doanh nghiệp,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > 32. Chi phí thuế thu nhập doanh nghiệp_1,Đơn vị tính: Triệu Đồng Việt Nam > Năm 2025,Đơn vị tính: Triệu Đồng Việt Nam > Năm 2024,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > 32. Chi phí thuế thu nhập doanh nghiệp_1,numeric__Đơn vị tính: Triệu Đồng Việt Nam > Năm 2025,numeric__Đơn vị tính: Triệu Đồng Việt Nam > Năm 2024
32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,,,,,
1. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 1. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,1. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,1. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,29.136,20.176,,29136.0,20176.0
2. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,2. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,2. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,2. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,-,-,,,
3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,2. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này > 3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,29.136,20.176,,29136.0,20176.0
32.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại: Không phát sinh,32.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại: Không phát sinh,32.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại: Không phát sinh,32.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại: Không phát sinh,,,,,
VII. Thông tin bổ sung một số khoản mục trình bày trên Báo cáo lưu chuyển tiền tệ hợp nhất,VII. Thông tin bổ sung một số khoản mục trình bày trên Báo cáo lưu chuyển tiền tệ hợp nhất,VII. Thông tin bổ sung một số khoản mục trình bày trên Báo cáo lưu chuyển tiền tệ hợp nhất,VII. Thông tin bổ sung một số khoản mục trình bày trên Báo cáo lưu chuyển tiền tệ hợp nhất,,,,,
33. Tiền và các khoản tương đương tiền,33. Tiền và các khoản tương đương tiền,33. Tiền và các khoản tương đương tiền,33. Tiền và các khoản tương đương tiền,31/12/2025,31/12/2024,,,
Tiền mặt và các khoản tương đương tiền tại quỹ,33. Tiền và các khoản tương đương tiền > Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,173.284,188.139,,173284.0,188139.0
Tiền gửi tại NHNN,33. Tiền và các khoản tương đương tiền > Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.402.983,715.826,,1402983.0,715826.0
"Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và kỳ hạn < 3 tháng)","33. Tiền và các khoản tương đương tiền > Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và kỳ hạn < 3 tháng)","Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và kỳ hạn < 3 tháng)","Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và kỳ hạn < 3 tháng)",7.447.270,4.426.568,,7447270.0,4426568.0
Tổng cộng,33. Tiền và các khoản tương đương tiền > Tổng cộng,Tổng cộng,Tổng cộng,9.023.537,5.330.533,,9023537.0,5330533.0
34. Mua mới và thanh lý các công ty con: Không phát sinh.,34. Mua mới và thanh lý các công ty con: Không phát sinh.,34. Mua mới và thanh lý các công ty con: Không phát sinh.,34. Mua mới và thanh lý các công ty con: Không phát sinh.,,,,,
VIII. Các thông tin khác,VIII. Các thông tin khác,VIII. Các thông tin khác,VIII. Các thông tin khác,,,,,
"35. Tinh hình thu nhập của cán bộ, công nhân viên","35. Tinh hình thu nhập của cán bộ, công nhân viên","35. Tinh hình thu nhập của cán bộ, công nhân viên","35. Tinh hình thu nhập của cán bộ, công nhân viên",Năm 2025,Năm 2024,,,
"I. Tổng số cán bộ, công nhân viên","35. Tinh hình thu nhập của cán bộ, công nhân viên > I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên",1.524,1.538,,1524.0,1538.0
"II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên",,,,,
1. Tổng quỹ lương,"II. Thu nhập của cán bộ, công nhân viên > 1. Tổng quỹ lương",1. Tổng quỹ lương,1. Tổng quỹ lương,310.046,261.885,,310046.0,261885.0
2. Tiền thường,"II. Thu nhập của cán bộ, công nhân viên > 2. Tiền thường",2. Tiền thường,2. Tiền thường,90.285,66.307,,90285.0,66307.0
3. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên > 3. Tổng thu nhập",3. Tổng thu nhập,3. Tổng thu nhập,400.331,328.192,,400331.0,328192.0
4. Tiền lương bình quân (triệu đồng/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 4. Tiền lương bình quân (triệu đồng/người/tháng)",4. Tiền lương bình quân (triệu đồng/người/tháng),4. Tiền lương bình quân (triệu đồng/người/tháng),17,14,,17.0,14.0
5. Thu nhập bình quân (triệu đồng/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 5. Thu nhập bình quân (triệu đồng/người/tháng)",5. Thu nhập bình quân (triệu đồng/người/tháng),5. Thu nhập bình quân (triệu đồng/người/tháng),22,18,,22.0,18.0
