row_label_raw,row_label_full,a. Lãi cho vay và phí phải thu chưa thu được,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,1.135.812,830.269,1135812.0,830269.0
Tổng,Tổng,Tổng,1.135.812,830.269,1135812.0,830269.0
b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,31/12/2025,31/12/2024,,
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,1.971.103,2.050.027,1971103.0,2050027.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,4.341.320,4.087.164,4341320.0,4087164.0
Tổng,b. Nợ khó đòi đã xử lý > Tổng,Tổng,6.312.423,6.137.191,6312423.0,6137191.0
c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,31/12/2025,31/12/2024,,
Tài sản khác giữ hộ,c. Tài sản và chứng từ khác > Tài sản khác giữ hộ,Tài sản khác giữ hộ,867.690,476.481,867690.0,476481.0
Tài sản thuê ngoài,c. Tài sản và chứng từ khác > Tài sản thuê ngoài,Tài sản thuê ngoài,378.782,364.563,378782.0,364563.0
Các chứng từ có giá trị khác đang bảo quản,c. Tài sản và chứng từ khác > Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,2.023.520,2.023.568,2023520.0,2023568.0
Tổng,c. Tài sản và chứng từ khác > Tổng,Tổng,3.269.992,2.864.612,3269992.0,2864612.0
