row_label_raw,row_label_full,"1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý_1","1. Tiền mặt, vàng bạc, đá quý_2","numeric__1. Tiền mặt, vàng bạc, đá quý_1","numeric__1. Tiền mặt, vàng bạc, đá quý_2"
,,,31/12/2025,31/12/2024,,
Tiền mặt bằng VND,Tiền mặt bằng VND,Tiền mặt bằng VND,155.306,169.386,155306.0,169386.0
Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,17.978,18.753,17978.0,18753.0
Tổng cộng,Tổng cộng,Tổng cộng,173.284,188.139,173284.0,188139.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,,
,,,31/12/2025,31/12/2024,,
Tiền gửi thanh toán tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước > Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,1.402.983,715.826,1402983.0,715826.0
Bằng VND,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng VND,Bằng VND,1.369.305,683.323,1369305.0,683323.0
Bằng vàng và ngoại tệ,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,33.678,32.503,33678.0,32503.0
Tổng cộng,2. Tiền gửi tại Ngân hàng Nhà nước > Tổng cộng,Tổng cộng,1.402.983,715.826,1402983.0,715826.0
