row_label_raw,row_label_full,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư_1,- Phân tích giá trị đầu tư theo loại hình đầu tư_2,numeric__- Phân tích giá trị đầu tư theo loại hình đầu tư_1,numeric__- Phân tích giá trị đầu tư theo loại hình đầu tư_2
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,53.380,53.380,53380.0,53380.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(24.881),(24.436),-24881.0,-24436.0
Tổng cộng,Tổng cộng,Tổng cộng,28.499,28.944,28499.0,28944.0
