row_label_raw,row_label_full,Họ tên,Chức vụ,Năm 2025(triệu đồng),Năm 2024(triệu đồng),numeric__Chức vụ,numeric__Năm 2025(triệu đồng),numeric__Năm 2024(triệu đồng)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,1.694,1.888,,1694.0,1888.0
Ông Vũ Quang Lăm,Ông Vũ Quang Lăm,Ông Vũ Quang Lăm,Chủ tịch,1.032,1.083,,1032.0,1083.0
Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Thành viên,84,20,,84.0,20.0
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,122,191,,122.0,191.0
Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Thành viên,114,20,,114.0,20.0
Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Thành viên,114,20,,114.0,20.0
Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Thành viên độc lập,114,20,,114.0,20.0
Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Thành viên độc lập,114,20,,114.0,20.0
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên (đến 01/11/2024),-,171,,,171.0
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên (đến 01/11/2024),-,169,,,169.0
Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Thành viên độc lập (đến 01/11/2024),-,174,,,174.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,2.586,1.306,,2586.0,1306.0
Ban điều hành,Ban điều hành,Ban điều hành,,8.597,7.585,,8597.0,7585.0
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Tổng Giám đốc,1.734,1.648,,1734.0,1648.0
Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Phó Tổng Giám đốc thường trực,1.446,1.400,,1446.0,1400.0
Ông Phạm Hoàng Hồng Thịnh,Ông Phạm Hoàng Hồng Thịnh,Ông Phạm Hoàng Hồng Thịnh,Phó Tổng Giám đốc,1.361,1.327,,1361.0,1327.0
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Phó Tổng giám đốc,1.361,1.327,,1361.0,1327.0
Ông Nguyễn Đình Nam,Ông Nguyễn Đình Nam,Ông Nguyễn Đình Nam,Phó Tổng giám đốc (từ 01/09/2024),1.329,870,,1329.0,870.0
Ông Nguyễn Tân Phát,Ông Nguyễn Tân Phát,Ông Nguyễn Tân Phát,Phó Tổng giám đốc (đến 01/11/2024),-,459,,,459.0
Ông Nguyễn Khắc Nghiêm,Ông Nguyễn Khắc Nghiêm,Ông Nguyễn Khắc Nghiêm,Phó Tổng giám đốc (từ 01/08/2025),431,-,,431.0,
Ông Phạm Tấn Tài,Ông Phạm Tấn Tài,Ông Phạm Tấn Tài,Kế toán trường (từ 01/09/2024),935,554,,935.0,554.0
