row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
"Chang International Co., Ltd.Payments on behalf of the Company","Chang International Co., Ltd.Payments on behalf of the Company","Chang International Co., Ltd.Payments on behalf of the Company","3,610,841,299","4,764,149,269",,
"Chang Beer Co., Ltd.Payments on behalf of the Company","Chang Beer Co., Ltd.Payments on behalf of the Company","Chang Beer Co., Ltd.Payments on behalf of the Company","3,640,908,349","743,116,593",,
S.A.S. CTAMAD Company LimitedProvision of services,S.A.S. CTAMAD Company LimitedProvision of services,S.A.S. CTAMAD Company LimitedProvision of services,"45,549,000","55,899,997",,
"Thipchalothorn Co., Ltd.Sales of merchandise goods","Thipchalothorn Co., Ltd.Sales of merchandise goods","Thipchalothorn Co., Ltd.Sales of merchandise goods","390,089,520",-,,
"C.A.I Co., Ltd.Purchases of services","C.A.I Co., Ltd.Purchases of services","C.A.I Co., Ltd.Purchases of services","732,415,000",-,,
"Dhospaak Co., Ltd.Purchases of services","Dhospaak Co., Ltd.Purchases of services","Dhospaak Co., Ltd.Purchases of services","45,051,141",-,,
"Board of DirectorsSalary,bonus and remunerationMr. Koh Poh Tiong – ChairmanMr. Pramoad Phornprapha – MemberMr. Nguyen Tien Vy – MemberMr. Michael Chye Hin Fah – MemberMs. Tran Kim Nga – MemberMr. Le Thanh Tuan – MemberMs. Ngo Minh Chau – MemberMr. Nguyen Tien Dung – MemberMr. Luong Thanh Hai – Member","Board of DirectorsSalary,bonus and remunerationMr. Koh Poh Tiong – ChairmanMr. Pramoad Phornprapha – MemberMr. Nguyen Tien Vy – MemberMr. Michael Chye Hin Fah – MemberMs. Tran Kim Nga – MemberMr. Le Thanh Tuan – MemberMs. Ngo Minh Chau – MemberMr. Nguyen Tien Dung – MemberMr. Luong Thanh Hai – Member","Board of DirectorsSalary,bonus and remunerationMr. Koh Poh Tiong – ChairmanMr. Pramoad Phornprapha – MemberMr. Nguyen Tien Vy – MemberMr. Michael Chye Hin Fah – MemberMs. Tran Kim Nga – MemberMr. Le Thanh Tuan – MemberMs. Ngo Minh Chau – MemberMr. Nguyen Tien Dung – MemberMr. Luong Thanh Hai – Member","-676,000,000988,000,000676,000,000676,000,000676,000,000676,000,000676,000,000676,000,000","-676,000,000988,000,000676,000,000676,000,000676,000,000468,000,000468,000,000869,400,000943,000,000",,
Board of ManagementSalary and bonus,Board of ManagementSalary and bonus,Board of ManagementSalary and bonus,"32,099,546,562","25,242,132,835",,
Audit CommitteeRemuneration,Audit CommitteeRemuneration,Audit CommitteeRemuneration,"1,014,000,000","1,014,000,000",,
