row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2022 VND,2021 VND,numeric__Code Note,numeric__Code Note_1,numeric__2022 VND,numeric__2021 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,28,"41,813,139,058,076","31,435,551,511,793",1.0,28.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,28,"22,320,718,601","32,465,756,702",2.0,28.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,28,"41,790,818,339,475","31,403,085,755,091",10.0,28.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,29,"35,158,185,011,372","26,921,488,472,056",11.0,29.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"6,632,633,328,103","4,481,597,283,035",20.0,,,
Financial income,Financial income,Financial income,21,30,"3,049,588,425,447","2,824,549,493,438",21.0,30.0,,
Financial expenses,Financial expenses,Financial expenses,22,31,"69,375,202,181","(22,901,890,854)",22.0,31.0,,
Selling expenses,Selling expenses,Selling expenses,25,32,"4,038,486,338,919","3,074,938,843,294",25.0,32.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,33,"347,706,978,997","242,149,473,384",26.0,33.0,,
Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},30,,"5,226,653,233,453","4,011,960,350,649",30.0,,,
Other income,Other income,Other income,31,,"1,385,783,906","75,326,057,345",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"8,143,366,231","3,062,823,083",32.0,,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"(6,757,582,325)","72,263,234,262",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"5,219,895,651,128","4,084,223,584,911",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,35,"680,488,477,453","471,637,285,430",51.0,35.0,,
Income tax benefit – deferred,Income tax benefit – deferred,Income tax benefit – deferred,52,35,"(20,249,650,982)","(21,366,232,103)",52.0,35.0,,
Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),60,,"4,559,656,824,657","3,633,952,531,584",60.0,,,
