row_label_raw,row_label_full,Tên công ty,31/12/2022 > % sở hữu và quyền biểu quyết,31/12/2022 > Giá gốc VND,31/12/2022 > Giá trị hợp lý VND,31/12/2022 > Dự phòng VND,1/1/2022 > % sở hữu và quyền biểu quyết,1/1/2022 > Giá gốc VND,1/1/2022 > Giá trị hợp lý VND,1/1/2022 > Dự phòng VND,numeric__31/12/2022 > % sở hữu và quyền biểu quyết,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Dự phòng VND,numeric__1/1/2022 > % sở hữu và quyền biểu quyết,numeric__1/1/2022 > Giá gốc VND,numeric__1/1/2022 > Giá trị hợp lý VND,numeric__1/1/2022 > Dự phòng VND
Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,"51,00%",100.424.933.209,351.447.375.000,-,"51,00%",100.424.933.209,377.758.785.000,-,0.51,100424933209.0,351447375000.0,,0.51,100424933209.0,377758785000.0,
Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,"62,06%",236.167.400.000,108.386.900.000,(127.780.500.000),"62,06%",236.167.400.000,111.543.800.000,(124.623.600.000),0.6206,236167400000.0,108386900000.0,-127780500000.0,0.6206,236167400000.0,111543800000.0,-124623600000.0
Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,"66,56%",299.548.230.160,877.894.400.000,-,"66,56%",299.548.230.160,796.849.700.000,-,0.6656,299548230160.0,877894400000.0,,0.6656,299548230160.0,796849700000.0,
Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,"91,75%",208.414.271.535,(*),-,"91,75%",208.414.271.535,(*),-,0.9175,208414271535.0,,,0.9175,208414271535.0,,
"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","51,24%",17.650.697.182,44.990.990.550,-,"51,24%",17.650.697.182,43.472.385.150,-,0.5124,17650697182.0,44990990550.0,,0.5124,17650697182.0,43472385150.0,
Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,"54,73%",76.324.868.844,39.401.432.000,(36.923.436.844),"54,73%",76.324.868.844,53.763.185.000,(22.561.683.844),0.5473,76324868844.0,39401432000.0,-36923436844.0,0.5473,76324868844.0,53763185000.0,-22561683844.0
Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,"68,78%",314.250.000.000,309.685.700.000,(4.564.300.000),"68,78%",314.250.000.000,368.305.000.000,-,0.6878,314250000000.0,309685700000.0,-4564300000.0,0.6878,314250000000.0,368305000000.0,
Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,"52,11%",93.800.000.000,397.308.660.000,-,"52,11%",93.800.000.000,231.320.180.000,-,0.5211,93800000000.0,397308660000.0,,0.5211,93800000000.0,231320180000.0,
Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành Viên Thương mại Bia Sài Gòn,100%,700.000.000.000,(*),-,100%,700.000.000.000,(*),-,1.0,700000000000.0,,,1.0,700000000000.0,,
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,"90,00%",37.422.345.046,(*),-,"90,00%",37.422.345.046,(*),-,0.9,37422345046.0,,,0.9,37422345046.0,,
Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,"95,07%",37.369.732.632,(*),-,"95,07%",37.369.732.632,(*),-,0.9506999999999999,37369732632.0,,,0.9506999999999999,37369732632.0,,
Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,"94,45%",83.141.000.000,(*),-,"94,45%",83.141.000.000,(*),-,0.9445,83141000000.0,,,0.9445,83141000000.0,,
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,"91,24%",54.546.288.176,(*),-,"91,24%",54.546.288.176,(*),-,0.9124,54546288176.0,,,0.9124,54546288176.0,,
