row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,583.406.671.195,2.899.805.524.610,60.752.918.781,115.634.842.828,3.659.599.957.414,583406671195.0,2899805524610.0,60752918781.0,115634842828.0,3659599957414.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.542.290.909,-,8.496.136.545,10.038.427.454,,1542290909.0,,8496136545.0,10038427454.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,202.322.329,720.597.273,19.345.454,-,942.265.056,202322329.0,720597273.0,19345454.0,,942265056.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(5.907.323.130),-,(5.907.323.130),,,-5907323130.0,,-5907323130.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,583.608.993.524,2.902.068.412.792,54.864.941.105,124.130.979.373,3.664.673.326.794,583608993524.0,2902068412792.0,54864941105.0,124130979373.0,3664673326794.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,453.858.665.860,2.532.294.745.180,53.885.286.346,99.638.567.984,3.139.677.265.370,453858665860.0,2532294745180.0,53885286346.0,99638567984.0,3139677265370.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.385.100.414,95.142.003.849,2.272.423.211,8.247.578.900,121.047.106.374,15385100414.0,95142003849.0,2272423211.0,8247578900.0,121047106374.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(3.750.465.054),-,(3.750.465.054),,,-3750465054.0,,-3750465054.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,469.243.766.274,2.627.436.749.029,52.407.244.503,107.886.146.884,3.256.973.906.690,469243766274.0,2627436749029.0,52407244503.0,107886146884.0,3256973906690.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,129.548.005.335,367.510.779.430,6.867.632.435,15.996.274.844,519.922.692.044,129548005335.0,367510779430.0,6867632435.0,15996274844.0,519922692044.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,114.365.227.250,274.631.663.763,2.457.696.602,16.244.832.489,407.699.420.104,114365227250.0,274631663763.0,2457696602.0,16244832489.0,407699420104.0
