row_label_raw,row_label_full,col_0,Code Note,2022 VND,2021 VND,numeric__Code Note,numeric__2022 VND,numeric__2021 VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"5,219,895,651,128","4,084,223,584,911",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"131,744,441,825","142,625,121,959",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"40,156,964,920","(65,464,967,602)",3.0,,
Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange losses/(gains) arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"70,968,249","(1,812,117,301)",4.0,,
Profits from investing activities,Exchange losses/(gains) arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(3,002,309,247,583)","(2,796,966,975,472)",5.0,,
Reversal of science and technology development fund,Exchange losses/(gains) arising from revaluation of monetary items > Reversal of science and technology development fund,Reversal of science and technology development fund,07,-,"(73,817,939,085)",7.0,,
Operating profit before changes in working capital,Exchange losses/(gains) arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"2,389,558,778,539","1,288,786,707,410",8.0,,
Change in receivables,Exchange losses/(gains) arising from revaluation of monetary items > Change in receivables,Change in receivables,09,"(600,999,179,157)","(70,369,420,502)",9.0,,
Change in inventories,Exchange losses/(gains) arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"(302,319,392,736)","62,135,018,085",10.0,,
Change in payables and other liabilities,Exchange losses/(gains) arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"928,804,882,837","1,107,019,550,966",11.0,,
Change in prepaid expenses,Exchange losses/(gains) arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"(57,253,866,167)","62,348,566,431",12.0,,
,,,,"2,357,791,223,316","2,449,920,422,390",,,
Corporate income tax paid,Exchange losses/(gains) arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(706,067,142,891)","(450,125,220,241)",15.0,,
Other payments for operating activities,Exchange losses/(gains) arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(39,443,069,552)","(48,598,679,752)",17.0,,
Net cash flows from operating activities,Exchange losses/(gains) arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"1,612,281,010,873","1,951,196,522,397",20.0,,
