row_label_raw,row_label_full,Payments of dividends,36,col_2,"(2,244,409,440,700)","(960,519,431,900)",numeric__36,numeric__col_2,"numeric__(2,244,409,440,700)","numeric__(960,519,431,900)"
Net cash flows from financing activities,Net cash flows from financing activities,Net cash flows from financing activities,40,,"(2,244,409,440,700)","(960,519,431,900)",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"312,625,065,775","1,624,700,110,965",50.0,,,
Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"2,611,792,885,629","987,216,978,696",60.0,,,
Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,,"(113,669,972)","(124,204,032)",61.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,5,"2,924,304,281,432","2,611,792,885,629",70.0,5.0,,
