row_label_raw,row_label_full,col_0,1/1/2022 VND,Incurred VND,Paid VND,Net-off/Reclassified VND,31/12/2022 VND,numeric__1/1/2022 VND,numeric__Incurred VND,numeric__Paid VND,numeric__Net-off/Reclassified VND,numeric__31/12/2022 VND
Special sales tax,Special sales tax,Special sales tax,"251,851,751,320","2,893,743,910,542","(2,890,609,009,320)",-,"254,986,652,542",,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"197,068,124,305","680,488,477,453","(706,067,142,891)",-,"171,489,458,867",,,,,
Value added tax,Value added tax,Value added tax,-,"5,274,475,839,328","(855,904,653,274)","(4,418,571,186,054)",-,,,,,
Personal income tax,Personal income tax,Personal income tax,"10,456,313,409","37,265,614,531","(39,950,253,443)",,"7,771,674,497",,,,,
Import-export tax,Import-export tax,Import-export tax,-,"2,403,051,783","(2,403,051,783)",-,-,,,,,
Land tax and land leases,Land tax and land leases,Land tax and land leases,"1,581,049,815","30,016,537,823","(25,546,984,893)","(4,469,552,930)","1,581,049,815",,,,,
Natural resource taxes,Natural resource taxes,Natural resource taxes,"4,840,480","44,704,960","(45,025,120)",-,"4,520,320",,,,,
Other taxes,Other taxes,Other taxes,"1,255,926,756","65,088,770,160","(64,981,838,198)",-,"1,362,858,718",,,,,
,,,"462,218,006,085","8,983,526,906,580","(4,585,507,958,922)","(4,423,040,738,984)","437,196,214,759",,,,,
