row_label_raw,row_label_full,col_0,Tài săn chở góp vốn đầu tư (*) VND,Bao bì luân chuyển VND,Công cụ và dụng cụ và các chi phí khác VND,Tổng VND,numeric__Tài săn chở góp vốn đầu tư (*) VND,numeric__Bao bì luân chuyển VND,numeric__Công cụ và dụng cụ và các chi phí khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,8.058.651.394,5.795.615.538,65.456.582.932,51602316000.0,8058651394.0,5795615538.0,65456582932.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,7.475.502.960,3.290.547.540,10.766.050.500,,7475502960.0,3290547540.0,10766050500.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,2.974.617.569,2.974.617.569,,,2974617569.0,2974617569.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(8.377.718.504),(6.049.847.727),(14.427.566.231),,-8377718504.0,-6049847727.0,-14427566231.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,7.156.435.850,6.010.932.920,64.769.684.770,51602316000.0,7156435850.0,6010932920.0,64769684770.0
