row_label_raw,row_label_full,col_0,2022VND,2021VND,numeric__2022VND,numeric__2021VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Doanh thu bán hàng hóa,Tổng doanh thu > ▪ Doanh thu bán hàng hóa,▪ Doanh thu bán hàng hóa,28.767.739.045.499,22.304.375.396.058,28767739045499.0,22304375396058.0
▪ Doanh thu bán nguyên vật liệu,Tổng doanh thu > ▪ Doanh thu bán nguyên vật liệu,▪ Doanh thu bán nguyên vật liệu,8.890.009.782.315,6.129.058.916.205,8890009782315.0,6129058916205.0
▪ Doanh thu bán thành phẩm,Tổng doanh thu > ▪ Doanh thu bán thành phẩm,▪ Doanh thu bán thành phẩm,4.093.550.782.312,2.955.047.672.659,4093550782312.0,2955047672659.0
▪ Doanh thu khác,Tổng doanh thu > ▪ Doanh thu khác,▪ Doanh thu khác,61.839.447.950,47.069.526.871,61839447950.0,47069526871.0
,,,41.813.139.058.076,31.435.551.511.793,41813139058076.0,31435551511793.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,22.320.718.601,32.465.756.702,22320718601.0,32465756702.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,41.790.818.339.475,31.403.085.755.091,41790818339475.0,31403085755091.0
