row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022 VND,2021 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2022 VND,numeric__2021 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,28,41.813.139.058.076,31.435.551.511.793,1.0,28.0,41813139058076.0,31435551511793.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,28,22.320.718.601,32.465.756.702,2.0,28.0,22320718601.0,32465756702.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,28,41.790.818.339.475,31.403.085.755.091,10.0,28.0,41790818339475.0,31403085755091.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,29,35.158.185.011.372,26.921.488.472.056,11.0,29.0,35158185011372.0,26921488472056.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,6.632.633.328.103,4.481.597.283.035,20.0,,6632633328103.0,4481597283035.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,30,3.049.588.425.447,2.824.549.493.438,21.0,30.0,3049588425447.0,2824549493438.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,31,69.375.202.181,(22.901.890.854),22.0,31.0,69375202181.0,-22901890854.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,32,4.038.486.338.919,3.074.938.843.294,25.0,32.0,4038486338919.0,3074938843294.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,33,347.706.978.997,242.149.473.384,26.0,33.0,347706978997.0,242149473384.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,5.226.653.233.453,4.011.960.350.649,30.0,,5226653233453.0,4011960350649.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,1.385.783.906,75.326.057.345,31.0,,1385783906.0,75326057345.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,8.143.366.231,3.062.823.083,32.0,,8143366231.0,3062823083.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,(6.757.582.325),72.263.234.262,40.0,,-6757582325.0,72263234262.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,5.219.895.651.128,4.084.223.584.911,50.0,,5219895651128.0,4084223584911.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,35,680.488.477.453,471.637.285.430,51.0,35.0,680488477453.0,471637285430.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,35,(20.249.650.982),(21.366.232.103),52.0,35.0,-20249650982.0,-21366232103.0
Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),60,,4.559.656.824.657,3.633.952.531.584,60.0,,4559656824657.0,3633952531584.0
