row_label_raw,row_label_full,col_0,Code Note,Code Note_1,31/12/2022 VND,1/1/2022 VND,numeric__Code Note,numeric__Code Note_1,numeric__31/12/2022 VND,numeric__1/1/2022 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"8,372,592,055,264","6,469,730,925,708",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"8,286,932,318,237","6,378,330,653,010",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,17,"4,296,905,191,970","3,459,074,140,936",311.0,17.0,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"10,348,280,028","12,729,716,548",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,18(a),"437,196,214,759","462,218,006,085",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"50,301,074,143","49,324,640,145",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,19,"333,327,470,676","223,444,283,266",315.0,19.0,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,20(a),"3,080,520,761,409","2,097,686,577,317",319.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,21,"78,333,325,252","73,853,288,713",322.0,21.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"85,659,737,027","91,400,272,698",330.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,20(b),"51,602,316,000","51,602,316,000",337.0,,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,22,"34,057,421,027","39,797,956,698",342.0,22.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"20,246,947,402,325","18,966,495,473,280",400.0,,,
Owners' equity,RESOURCES > Owners' equity,Owners' equity,410,23,"20,246,947,402,325","18,966,495,473,280",410.0,23.0,,
Share capital,RESOURCES > Share capital,Share capital,411,24,"6,412,811,860,000","6,412,811,860,000",411.0,24.0,,
Ordinary shares with voting rights,Ordinary shares with voting rights,Ordinary shares with voting rights,411a,,"6,412,811,860,000","6,412,811,860,000",,,,
Investment and development fund,Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,25,"760,819,802,040","760,819,802,040",418.0,25.0,,
Retained profits,Ordinary shares with voting rights > Retained profits,Retained profits,421,,"13,073,315,740,285","11,792,863,811,240",421.0,,,
Retained profits brought forward,Retained profits brought forward,Retained profits brought forward,421a,,"8,586,457,881,240","8,212,067,039,040",,,,
Retained profit for the current year,Retained profit for the current year,Retained profit for the current year,421b,,"4,486,857,859,045","3,580,796,772,200",,,,
TOTAL RESOURCES(440 = 300 + 400),Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"28,619,539,457,589","25,436,226,398,988",440.0,,,
